question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional grimoire (a book of magic spells and incantations) created by American author H.P. Lovecraft. However, the book is not a real book that was written by a specific author, but rather a fictional tome that appears in Lovecraft's stories.

The concept of the Necronomicon was first introduced in Lovecraft's short story ""The Hound"" (1924), and it was later featured in several other stories, including ""The Call of Cthulhu"" (1928) and ""At the Mountains of Madness"" (1936).

In the stories, the Necronomicon is often referred to as a forbidden book that contains ancient and forbidden knowledge, written in a language that is not fully understood by humans. The book is said to hold the secrets of the Old Ones, ancient beings who ruled the Earth before humans.

Lovecraft himself never wrote a complete version of the Necronomicon, but the book has been created by various fans and authors over the years, often as a companion to Lovecraft's stories.",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In the Call of Cthulhu, the Keeper is a crucial role that refers to the game master or narrator in a tabletop role-playing game. The Keeper is responsible for guiding the players through a horror-themed adventure set in the Cthulhu Mythos, a shared universe created by H.P. Lovecraft.

The Keeper's primary duties include:

1. **World-building**: Creating and maintaining the game world, its history, and its lore, drawing inspiration from the Cthulhu Mythos.
2. **Storytelling**: Weaving a narrative that involves the players, presenting them with challenges, obstacles, and terrifying encounters.
3. **NPCs and monsters**: Creating non-player characters (NPCs) and monsters, such as cultists, investigators, and creatures from the Cthulhu Mythos, to interact with the players.
4. **Game mechanics**: Managing the game's mechanics, including character creation, skill checks, and combat.
5. **Atmosphere and tension**: Setting the tone and atmosphere of the game, ensuring that the players feel a sense of unease, fear, and uncertainty.
6. **Player guidance**: Helping players navigate the game world, providing clues, and guiding them towards their goals.
7. **Plot twists",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To play Call of Cthulhu, a tabletop role-playing game, you'll need the following dice:

1. **d20 (20-sided die)**: This die is used for resolving skill checks, combat, and other challenges. It's the primary die for determining success or failure.
2. **d6 (six-sided die)**: This die is used for resolving damage, determining the severity of injuries, and other specific tasks.
3. **d100 (percentile die)**: This die is used for resolving certain skill checks, particularly those that require a specific percentage chance of success.

You'll also need a set of polyhedral dice, which typically includes a d4 (four-sided die), d6, d8 (eight-sided die), d10 (ten-sided die), and d12 (twelve-sided die). However, these are not essential for playing Call of Cthulhu.

The d20, d6, and d100 are the core dice needed to play the game.",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"To play the game of dice, you typically need at least one die. However, most popular dice games require two or more dice. 

Some common dice games that require two dice include:

1. Craps
2. Liar's Dice
3. Farkle
4. Shut the Box

The number of dice needed can vary depending on the specific game being played.",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The Miskatonic University is a fictional institution that appears in several of H.P. Lovecraft's stories. It is often associated with the study of the occult and the supernatural. 

The Miskatonic University is featured in several of Lovecraft's works, including:

1. ""The Shadow Over Innsmouth"" (1931) - This novella features the university as a place where the protagonist, Robert Olmstead, is a professor.
2. ""The Call of Cthulhu"" (1928) - This short story mentions the university as a place where the protagonist, Francis Wayland Thurston, discovers a mysterious cult.
3. ""At the Mountains of Madness"" (1936) - This novella features the university as a place where the protagonist, William Dyer, is a professor and discovers ancient, alien artifacts.
4. ""The Dreams in the Witch House"" (1932) - This short story features the university as a place where the protagonist, Brown, is a student.
5. ""The Whisperer in Darkness"" (1931) - This short story features the university as a place where the protagonist, Albert N. Wilmarth, is a student.

The Miskatonic University is often depicted as a",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"The legacy of H.P. Lovecraft is a vast and complex one, spanning multiple genres, mediums, and artistic expressions. Lovecraft's works have had a profound influence on popular culture, particularly in the realms of horror, science fiction, and fantasy. Here are some key aspects of his legacy:

1. **Cthulhu Mythos**: Lovecraft's creation of the Cthulhu Mythos, a shared universe of horror and fantasy, has inspired countless authors, artists, and creators to build upon his ideas. The Cthulhu Mythos has become a cultural touchstone, symbolizing the existential terror of the unknown and the insignificance of humanity.
2. **Horror and the New Weird**: Lovecraft's works, particularly his stories, have influenced the development of horror fiction, particularly in the subgenre known as the New Weird. This movement emphasizes the blending of horror, science fiction, and fantasy elements, often with a focus on cosmic horror and the unknown.
3. **Science Fiction and Fantasy**: Lovecraft's stories have inspired many science fiction and fantasy authors, including Arthur C. Clarke, Ray Bradbury, and Stephen King. His ideas about the dangers of scientific progress, the power of the unknown, and the insignificance of humanity have",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Creating an investigator involves several steps that help you develop a character with a unique set of skills, traits, and background. Here's a step-by-step guide to create an investigator:

1. **Define the investigator's role**: Determine the type of investigator you want to create. This could be a detective, a private investigator, a forensic expert, or a special agent. Consider the setting, genre, and the kind of cases they'll be handling.

2. **Develop the investigator's background**: Give your investigator a rich history, including their:
	* Childhood and upbringing
	* Education and training
	* Career progression
	* Personal relationships and family
	* Significant life events that shaped their personality and skills

3. **Choose their skills and expertise**: Decide on the investigator's areas of expertise, such as:
	* Forensic analysis
	* Interviewing and interrogation
	* Surveillance and observation
	* Research and investigation
	* Profiling and psychology
	* Technology and gadgets

4. **Determine their personality traits**: Consider the investigator's:
	* Personality type (e.g., introverted, extroverted, optimistic, pessimistic)
	* Emotional intelligence and empathy
	* Moral compass and ethics
	* Conflict resolution",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"For a 70-year-old character, you may want to consider the following modifiers to reflect the effects of aging on their physical abilities:

1. **Speed:** -2 to -3 (due to decreased mobility and reaction time)
2. **Strength:** -1 to -2 (muscle mass and bone density may decrease with age)
3. **Dexterity:** -1 (fine motor skills and coordination may decline)
4. **Endurance:** -1 to -2 (aging can lead to decreased stamina and fatigue)
5. **Charisma:** +1 (life experience and wisdom can increase charm and persuasion abilities)
6. **Wisdom:** +1 to +2 (age can bring increased insight and experience)
7. **Perception:** -1 (aging senses may decline, but this can be mitigated with experience and training)

Keep in mind that these are general guidelines and can be adjusted based on the specific game system and the character's background. Some games may have different rules or mechanics for aging characters.

Additionally, consider the following:

* **Health:** A 70-year-old character may be more susceptible to injuries and illnesses.
* **Vulnerability:** They may be more vulnerable to certain types of attacks or hazards.
* **Equipment:** They",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In various games, increasing weapons skills can be achieved through different methods, depending on the game mechanics. Here are some general ways a player can increase their weapons skills:

1.  **Leveling Up**: In many games, leveling up allows players to increase their character's attributes, including their weapon skills. As players gain experience points, they can level up, unlocking new abilities and improving their existing ones.
2.  **Skill Trees or Perks**: Some games feature skill trees or perk systems, where players can allocate points to improve their character's abilities, including their weapon skills. This can include unlocking new skills, increasing damage output, or improving accuracy.
3.  **Equipment Upgrades**: Upgrading equipment, such as guns, swords, or bows, can improve their effectiveness and increase the player's overall damage output. This can be done by collecting better equipment, crafting new items, or purchasing upgrades from vendors.
4.  **Practice and Experience**: In some games, players can improve their weapon skills by practicing and using their equipment in combat. The more they use their weapons, the more experience they gain, which can lead to improvements in their skills.
5.  **Training or Crafting**: Some games offer training or crafting systems that allow players to improve their weapon",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,I don't have enough information to provide the range of skill points for an investigator at the Amateur level. Can you please provide more context or specify the game or system you are referring to?,You are a helpful AI assistant.
