question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,Keith Herber,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,The Keeper is the game moderator and has control of the game world and its non-player characters.,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,Two or more players and one Keeper,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,in 'The Curse of Yig' (1920),You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"A legacy of a hundred thousand words, a thousand stories, and a world of myth and monsters that continues to grow and evolve to this day.",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Step 1: Choose a Name, Step 2: Choose a Profession, Step 3: Determine the Investigator's Occupation Skill Points, Step 4: Determine the Investigator's APP, Step 5: Determine the Investigator's Credit Rating, Step 6: Determine the Investigator's EDU, Step 7: Determine the Investigator's POW, Step 8: Determine the Investigator's SIZ, Step 9: Determine the Investigator's STR, Step 10: Determine the Investigator's CON, Step 11: Determine the Investigator's DEX, Step 12: Determine the Investigator's APP, Step 13: Determine the Investigator's Credit Rating, Step 14: Determine the Investigator's EDU, Step 15: Determine the Investigator's POW, Step 16: Determine the Investigator's SIZ, Step 17: Determine the Investigator's STR, Step 18: Determine the Investigator's CON, Step 19: Determine the Investigator's DEX, Step 20: Determine the Investigator's APP, Step 21: Determine the Investigator's Credit Rating, Step 22: Determine the Investigator's EDU, Step 23: Determine the Investigator",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,Add 2D6 to the character's age in the 'Old Age' bracket.,You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,By spending skill points when creating a new investigator or altering an existing one.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,1–5,You are a helpful AI assistant.
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,The ability to induce a trance state in a willing subject.,You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,The Keeper,You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,The investigator has successfully pushed the limits of their research.,You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,"The Keeper may allow the player to roll one dice roll and apply the result to both skills, or roll two separate dice rolls and choose the better one.",You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,The optional rules of the game system are not essential to the game.,You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,A Combat Round is a period of time in which everyone wishing to act has a chance to complete at least one action.,You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?","The combatant with the highest DEX. In case of draw, the combatant with highest combat skill",6,The combatant with the highest DEX,You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,The character must have no physical restrains and have an escape route,6,"If outnumbered, a character may be allowed to escape close combat.",You are a helpful AI assistant.
How is a firearm attack resolved?,A firearm attack is resolved with a 1D100 roll and compare the result with the Firearm skill of the attacking character. The difficulty level of the roll is determined by the range and other factors,6,The attacker's Firearms skill is opposed by the target's Firearms skill (or Dodge skill if applicable).,You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"The players performs a CON roll. If it is successful, 1D3 hit points are recovered. In case of Extreme success, 2D3 hit points are recovered.",6,The character must make a CON roll each day until the wound is healed.,You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A chase take place when the participants have an escape route. The Keeper positions the participants, decided the order of play and how many movements each participant can make in each turn. At the beginning each participant makes a CON roll to adjust their MOV rating. Then, at each round of the chase the participants act in DEX order, and move a number of locations based on their MOV rating. In some cases attacks can also be performed. The Keeper can add hazards and barriers to the chase as well.",7,"A series of locations, each allowing a character to move and perform an action.",You are a helpful AI assistant.
What is a speed roll used for during a chase?,It is used to adjust the participant MOV rating for the whole duration of the chase,7,To determine the distance between the pursuer and fleeing character at the end of a round.,You are a helpful AI assistant.
