question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon was written by many authors, as it is a 
compendium of magical and horrific lore. The main sections 
were written by Abdul Al-hazred, an Arab wizard and poet of 
the 12th century. However, the Necronomicon is a translation, 
and the original works must have been far more extensive. 

Abdul Al-hazred was born in Damascus and lived in Yemen 
and Carthage, traveling throughout black Africa as a merchant. 
He was a student of magic, astrology, and the occult, as well 
as a poet and philosopher. He is also known as Al-Hazrad. 

Surviving manuscripts of Al-Hazred’s works include the 
Necronomicon, the Book of Eibon, and the Revelations of Gla'aki. 
He is also mentioned in the Malleus Maleficarum, the Cultes des 
Goules of Comte d'Erlette, and the Unaussprechlichen Kulten of 
Otto von Bismarck (a mistaken identity – see Von Junzt).

He is sometimes referred to as the “divine” Al-Hazred, and 
his poetry is said to",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In Call of Cthulhu, the Keeper is the game moderator, taking the role of 
referee, presenter, and co-player all in one. The Keeper is the game 
moderator, ensuring that the rules are applied fairly and evenly to 
all players, and that the game runs smoothly. The Keeper should 
foster a fun and scary game with atmospheric presentation, and 
above all, be a good listener. 

The Keeper is the host and presenter of the game, and as such 
he or she is in charge of preparing the scenario and running the 
game. The Keeper should have a thorough understanding of the 
rules and be familiar with the materials presented in this book, 
as well as being familiar with his or her players.

Many  roleplaying  games  present  a  conflict  between  the 
Keeper’s  role  as  story  presenter  and  game  moderator.  The 
Keeper is the only game moderator in Call of Cthulhu; the other 
players are involved in creating the story as it unfolds. 

The  players  create  their  investigators  and  the  Keeper 
creates  the  scenario  and  controls  the  non-player  characters 
and monsters. Together",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To play Call of Cthulhu, you’ll need the following dice:

1.  Four  six-sided  dice  (D6)  (usually  abbreviated  as  ""D6""  and 
sometimes called ""pips""). Most of the rolling in Call of Cthulhu 
is  done  with  six-sided  dice.  You  can  find  these  in  most  toy 
stores  that  sell  board  games.  Two  of  these  make  a  ""pair""  or 
""pair of tens"". If you have four of these, you have a ""pair of pairs"" 
or ""quarter"". 

1D6 reads ""one D-six"".

2.  One  eight-sided  die  (D8);  used  by  the  Keeper  for  some 
monster attacks, if required.

3.  One  ten-sided  die  (D10);  used  by  the  Keeper  for  some 
monster attacks, if required.

4.  One  percentile  die  (D100);  this  is  usually  a  10-sided  die 
with the numbers 1–100 marked on its sides",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"I'm assuming you are referring to a dice game, likely a tabletop roleplaying game (RPG). The most popular RPGs require at least two people and two dice. 

The game that comes to mind is the classic 1977 game ""Traveller"" by 
Chaosium, however the minimum number of dice required for that 
game is 4 (2 six-sided and 2 percentile dice). 

The  game  with  the  minimum  number  of  dice  is  likely 
to be Call of Cthulhu, also by Chaosium, which requires only 
one six-sided die and one percentile die.

The  game  that  comes  to  mind  for  a  game  using  the 
maximum number of dice would be a home-made or custom 
game, but a good example is the 7th Edition Call of Cthulhu 
ruleset’s melee combat. In it, a player rolls no less than two 
dice. Ideally, the number of dice rolled should set the difficulty 
level for the skill or characteristic used in the roll. 

The  example  given  for  fighting  Hand-to-Hand  Martial 
Arts  (Brawl)  is  one",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The  Miskatonic  University  is  mentioned  or  featured  in  many  of  H.P.  Lovecraft’s  stories,  but  its  first  appearance  is  in  the  1921  story  ""The  Hound  of  Tindalos""  (although  not  by  Lovecraft,  but  by  Frank  Belknap  Long).  Lovecraft  frequently  referenced  it  in  his  stories  and  it  is  most  commonly  found  in  his  tales  of  the  Cthulhu  Mythos.  The  Miskatonic  University  is  located  in  the  fictional  town  of  Arkham,  although  its  full  name  is  the  Miskatonic  University  of  Arkham.  The  university  is  modeled  after  the  real  life  Miskatonic  University  of  the  city  of  Providence,  Rhode  Island,  which  was  founded  in  1828  and  is  named  after  a  17th-century ",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"The legacy of H.P. Lovecraft is immense and far-reaching, 
affecting not only the horror genre but also popular culture 
in general. Lovecraft’s stories have been translated into more 
than thirty languages, sold over 75 million copies, and made 
into numerous films and plays. He is widely regarded as the 
father of modern horror story telling, and his works continue 
to influence writers of the horror genre to this day.

Lovecraft’s stories have also had a significant impact on 
modern roleplaying games, particularly Call of Cthulhu, a 
game in which the players take the roles of the investiga-
tors, following in the footsteps of his fictional detectives as 
they seek to uncover the secrets of the cosmic horrors that 
threaten our very existence. 

In  the  1980s,  a  small  press  publication,  Chaosium, 
produced a roleplaying game set in the Lovecraftian universe. 
The game was called Call of Cthulhu and quickly gained a 
small but dedicated following. As the years progressed, Chaosium 
continued to update and expand the Call of Cthulhu game, 
with more and more source books and supplements being added 
to the",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"To create an investigator in the 1920s, follow these steps:

Step 1: Generate Characteristics
Find a dice and roll 3D6 (3 six-sided dice) to generate five 
characteristic values, then multiply each by 5. These are the 
investigator's characteristics (see page 32).

Step 2: Determine Occupation
Choose an occupation (pages 68-69) that fits your idea for 
the investigator. Each occupation has its own list of skills, 
and some occupations require specific skill combinations or 
specific skill values. Some occupations are only suitable to 
certain types of stories and campaigns.

Step 3: Decide Characteristics
All  investigators  have  the  following  characteristics:  APP 
(appearance),  EDU  (education),  IDE  (ideology/beliefs), 
INT (intelligence), POW (power), and DEX (dexterity). 

Other characteristics such as STR, CON, and SIZ are factored 
into the seven ""core"" characteristics. See Characteristics, page 
32, for a full explanation.

Step 4: Decide Occupation Skills and 
Allocate Skill Points
Each occupation has a skill list from which you may choose. 
Allocate occupation skill points in this",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"In the ""Physical Characteristics"" section of the investigator sheet, there is a ""Damage Bonus and Build"" table. 

Age does not have any effect on damage bonus or build, however it does affect Movement rate (see Speed roll, below).

Movement Rate (MV): 
A  character’s  movement  rate  is  their  MOV,  which  is  their  fig-
ure  on  the  DEX  and  STR  rolls  made  during  investigator  creation. 
There is no adjustment for age in the 7th Edition Investigator 
Handbook;  however,  as  a  rough  guide,  one  might  reduce  MOV 
by  1  for  every  50  points  of  damage  bonus  that  have  been  lost 
during the investigator’s lifetime. Thus a 20-year-old with 3D6 
damage  bonus  would  have  1  point  of  movement  restriction, 
and a 60-year-old with 6 points of damage bonus would have 2 
points of movement restriction, making 1 movement action and 
2  fighting  attacks,  for  example.  This  is  a ",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In the game, weapon skills can be increased through use and practice. When an investigator uses a weapon in a successful attack, the user gains a degree of experience with the weapon. 

There is a good old-fashioned skill called ""Fighting"" that em-
braces  a  wide  variety  of  unarmed  and  simple  weapons.  If  a 
character  is  using  a  more  complex  weapon  (such  as  a  rifle) 
with which they are unfamiliar, they must use the ""Firearms"" 
skill.  If  they  are  using  a  weapon  with  which  they  are  less 
familiar, they may use the ""Fighting"" skill. For example, if an 
investigator were to use an axe (a weapon with which most 
people are not familiar), it would require a ""Fighting (Axe)"" 
skill. If the weapon is one that the investigator is not familiar 
with, they may have to use the ""Fighting (Brawl)"" skill—this 
represents the idea that a person is more likely to be able to 
use their basic, instinctive fighting skills when attacking with 
a weapon that is unfamiliar to",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"At the Amateur level, the skill points for an investigator are rolled between 5 and 20.",You are a helpful AI assistant.
