question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional book created by H.P. Lovecraft. 
The  preface  was  written  by  Dr.  John  Dee  and  the  forward 
by Theodoras Philetas. The main body of the text is said to be 
the translation of Dr. Marsham (a reference to the real-life Dr. 
John Dee and his translation of the Greek Necronomicon, as well 
as the translation by Dr. Dee’s secretary, the fictional Ludwig 
Prinn, are dropped). The 1673 edition was printed in Cologne, 
Germany, as a folio. 

An English translation, said to be faithful to the original Latin, 
was made by Baron Frederic, a French nobleman, and printed 
in  1597  in  Hamburg,  Germany.  A  copy  of  the  Latin  edition 
is held by the British Museum and another by the Union The-
ological Seminary in New York. The Miskatonic University 
of  the  occult  and  the  Elder  Keys  is  also  mentioned  in 
several of Lovecraft’s stories, and is believed to be a refer-
ence to the",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"The Keeper is the game moderator, responsible for running the game and ensuring that everyone has an enjoyable experience. 

The Keeper is the final arbiter of the rules and should make judgments about how rules apply to specific situations. 

The Keeper is the main source of information about the mysteries of the story, and is responsible for pacing the revelation of 
information to the players. The Keeper should be familiar with the story of the scenario and be able to adapt it to suit his or her 
players. The Keeper is the game's ""game moderator"" and is also referred to as the “Keeper of the Cthulhu Mythos”.

The Keeper’s role is that of game moderator, arbitrator, and story presenter. You decide the setting, the story, the 
non-player characters, and the course of events. You will also be responsible for the time it takes for events to unfold, and 
for  deciding  whether  the  players’  investigators  succeed  or  fail  at  any  given  time.  In  essence,  you  are  in  control  of  the 
non-player characters and of the world; the players are in control of their investigators. 

The  Keeper  will  also  be  responsible ",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To  play  Call  of  Cthulhu,  you  will  need  a  set  of  roleplaying 
dice,  specifically  the  following:  four  six-sided  dice  (D6),  one 
eight-sided  die  (D8),  one  ten-sided  die  (D10),  one  twenty-
sided  die  (D20),  and  a  percentile  die  (D100).  If  you  don’t 
have these, you can substitute with a combination of smaller dice 
and a little math (see following page).

People new to roleplaying may never have seen dice with 
more than six sides. The 4, 8, 10, 12, percent, and double dice 
are not standard table-dice. If you cannot get hold of a dice 
set containing these, use the following substitutions:

Use the d4 (four-sided die): It is the same as a 1D4.
Use two d6 (six-sided dice) rolled and added together for 
a 1D6+1 (or simply use a d8).
Use three d6 (six-sided dice) rolled and added together 
",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"The  minimum  number  of  players  needed  to  play  is  three:  two 
players  can  play  as  investigator  and  one  can  play  as  the  Keeper. 
In fact, the ideal number of players is four: three investigators and 
one Keeper. With this number, everyone has a say in the game and 
everyone has a character to control. If more players turn up, they 
may be able to play non-player characters. 

Investigators can be played as cooperators or competitors. 

You may wish to begin with a shorter scenario, one that can be 
completed in one session. A published scenario has guidelines 
for experienced investigators, as well as a more difficult level 
for novices. As Keeper, you may wish to start with the diffi-
cult level for your group and adjust it from there. 

If  you  are  new  to  both  roleplaying  and  Call  of  Cthulhu, 
we recommend that you start with a beginner scenario, such as 
Amidst the Ancient Trees (page 346), and then move onto 
one of the campaigns. 

This  Call  of  Cthulhu  seventh",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The  Miskatonic  University  is  mentioned  or  featured  in  a 
dozen or more of Lovecraft’s stories, as are a number of other 
universities around the world. It is set in the city of Arkham, 
one of the author’s canonical Lovecraftian settings. The Univer-
sity  of  Louisiana  in  Lovecraft’s  “The  Thing  on  the  Doorstep” 
(1933)  is  also  in  Arkham.  In “The  Haunter  of  the  Dark” 
(1929) the university is referred to as being in the town of 
Burlington, also clearly Arkham.

The  Hobbhouse  Manuscripts,  containing  secrets  of  the 
Cthulhu  Mythos,  are  said  to  have  originated  in  Southsea 
(possibly  a  reference  to  the  real  life  city  of  Southsea,  in 
England), although the manuscripts themselves were written in 
New England. This may be a mistake on Lovecraft’s part, as it 
is  unclear  what  ""Southsea""",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"The legacy of H.P. Lovecraft is immense and still unfolding. 
Lovecraft's stories of horror and the Cthulhu Mythos have 
become a staple of modern horror, and his influence can be 
seen in a wide range of media, including films such as John 
Carpenter’s The Thing (2010) and Peter Jackson’s The Lord 
of the Rings  film  trilogy  (based  on  the  books  by  J.R.R. 
Tolkien, who was heavily influenced by Lovecraft). 

Numerous other authors have been influenced by Lovecraft, 
including Stephen King, Brian Lumley, Gary Myers, David Drak-
eman, and Thomas Ligotti, to name a few. Derleth himself 
was instrumental in keeping Lovecraft’s stories in print and 
promoting  his  work  to  a  growing  audience.  It  was  also 
through  Derleth  that  August  Derleth’s  own  stories  of the 
Cthulhu  Mythos  were  written.  His  fictional  creations 
included  the  realizations  of  several  of  Lovecraft’s  story 
fragments,  as ",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"To create an investigator, follow these steps:

Step 1: Decide on a Theme
Choose a theme for your investigator: 1920s Film Star, Female Disciple of 
Hastur, and so on. Look to Lovecraft’s stories for inspiration or com-
pose your own. Having a theme helps to build a backstory and de-
termine where to position your investigator within the Cthulhu 
Mythos. Your investigator’s occupation should be linked to your 
chosen theme. Your player's choice of theme does not have to be 
purely Lovecraftian—modern-day settings and themes are avail-
able as alternatives or additions.

Step 2: Decide on an Occupation
An  occupation  binds  the  investigator  to  a  particular  field  of 
study or vocation.  Each  occupation  has  a  list  of  skills  and 
occupational  skills  listed.  The  investigator’s  occupation  also 
determines  their  starting  level  of  credit  rating  (see  page 
46).  An  occupation  also  determines  the  starting  number 
of  personal  connections  (friends  and  contacts)  an ",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"For  a  70-year-old  investigator,  the  following  modifiers 
would  be  applied  during  character  creation:  2D10  Pen-
alty  dice  for  the  2  movement  actions  that  are  lost  due  to 
aging, and a reduction in both STR and DEX by 2D10.

Also,  the  investigator  would  be  reduced  in  the  EDU 
characteristic by 2D10, and their number of personal inter-
ests should be reduced by 2D10 (see Personal Interests page 
99). The player should also reduce his or her number of con-
nections by 2D10 (see Connections page 54). The player 
should also roll dice to see how the investigator’s finances have 
changed, and reduce or increase his or her Credit Rating ac-
cordingly (see Credit Rating page 61).

The  Keeper  determines  that  Robert’s  Credit  Rating 
should  be  lowered  by  one  level,  to  ‘Average’.  Robert’s 
cash is reduced to $10. His current asset value drops to a 
little over $200.",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In  the  game,  weapons  are  divided  into  a  number  of  skill 
specializations,  each  representing  a  particular  type  of  weap-
on  or  family  of  weapons.  The  base  chance  of  success  in 
using any given weapon is determined by the Weapons skill, and 
further specialization is not permitted.

A list of specializations and their skills is listed below. The 
weapons  taught  in  the  Fighting  (Brawl)  specialization  may 
surprise you.

Firearms specialization skills:

i  Firearms (Heavy): use large caliber weapons such as the 
.50 calibre Browning machine gun or the 20mm soloth-
erless cannon.

i  Firearms (Rifle): use lever-action, bolt-action, or ma-
chine guns, as well as shotgun (if capable of firing more 
than single shots).

i  Firearms (Shotgun): use for all shotgun types.
i  Firearms  (Submachine  Gun):  use  for  Browning  Auto 
Rifle,  Colt  Lazarus,  M1921  Browning,  M3  (Grease 
Gun), ",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"In  Call  of  Cthulhu,  each  skill  has  a  range  of  skill 
points  assigned  to  it,  depending  on  its  own  skill  level. 
These ranges indicate the number of skill points that should be 
allocated to the skill during investigator creation. 

The  ranges  are  divided  by  two  skill  levels:  Base  and 
Advanced. As a guide, an investigator with an occupation 
that begins at 50% or over may spend skill points to raise 
one or more of those skills to 50%, and/or 90%, or even 
100%. An occupation that begins at 25% may have skills 
raised to 25% and/or 50%. 

Some  occupations  begin  at  5%.  These  are  often 
non-player  character  occupations  that  are  not  intended 
for player selection, and the 5% skill base is felt to be more 
appropriate for non-player characters in the modern day. How-
ever, if you wish to play a modern-day investigator whose 
occupation is that of a computer hacker or a low-level em-
bezzler, for example, these",You are a helpful AI assistant.
