question,generated_answer
Who wrote the Necronomicon chapter?,"The Necronomicon is a fictional book in the Cthulhu Mythos created by the American author H.P. Lovecraft. 

The Necronomicon is attributed to the Arab Abdul Al-hazred, who wrote it in the 12th century. However, the version that Lovecraft used as a reference was a translation by Dr. John Dee, an English mathematician, astronomer, and occultist, published in 1586. 

The Dee version is said to be a translation from the Greek of Theodoras Philetas, who in turn had translated it from the Arabic of Abdul Al-hazred. 

Other versions and partial translations of the Necronomicon are also mentioned, including a German translation by Ludwig Prinn, published in 1454 as the De Vermis Mysteriis. However, it is the version attributed to Dr. John Dee that is most often mentioned.

It is believed that the original Arabic version of the Necronomicon was called the Kitab Al Azif. It is said that the name Azif means ""book of the begining"" or ""book of the creation"". Al-Hazred was a human who lived in Arabia in the 12th century and who was a student"
What is the role of the Keeper in the Call of Cthulhu?,"In Call of Cthulhu, the Keeper is the game moderator, taking 
the role of narrator and arbiter of the rules. The Keeper is 
the person who creates and runs a scenario for the group of 
players. Essentially the Keeper is the ""game master"" of the 
saga, in charge of ensuring that the game runs smoothly and 
that everyone has a good time. 

The Keeper picks a scenario to run and prepares ade-
quate notes to ensure that he or she can present the story in 
a non-linear manner, one that will adapt to the actions of 
the players. The Keeper prepares two or three key encounters 
or locations that the group will encounter, but the exact way 
in which they reach these set pieces is left up to the players. 
The  Keeper  will  also  be  prepared  to  improvise  around 
the set pieces and respond to events that no one has predicted.

The  Keeper  will  also  be  responsible  for  running  the 
game smoothly, keeping track of all the various investigators, 
non-player characters and monsters, as well as their various 
skills,  powers  and  hit  points.  The  Keeper  is  also  respon"
What dices are needed to play Call of Cthulhu?,"To play Call of Cthulhu, you will need the following dice:

1.  Four  six-sided  dice  (D6),  one  of  which  is  a  1D6 
percentile die (noted as D6 or 1D6 on some dice). The stan-
dard  dice  found  in  most  game  stores  contain  the  numbers 
1 through 10 on one die and the numbers 11 through 20 on an-
other. When you buy dice for use with this game, make sure you 
get the right pair. 

1D4, 1D8, 1D10, 1D100: These are single dice. ‘D’ stands 
for ‘die’ and the number tells you how many-sided the die is. A 
1D6 die has six sides, a 1D8 die has eight sides and so on. A 
1D100 die has a hundred sides and is usually rolled by rolling a 
10-sided die and a 10-sided die and adding the numbers together 
(to get a result between 10 and 100).

2D6, 3D6, 4D6, etc.:"
How many dices are needed at a minimum to play the game?,"The minimum number of players for many roleplaying games is three; one person to play the role of Keeper (also known as a Game Moderator or 
Keeper of Arcane Lore) and two players to roleplay investigators. More players can join in as investigators. Some versions of games 
have different rules for team versus team play. 

It is not possible for there to be more than one player to take on the role of Keeper as the Keeper is the game moderator."
In which of Lovecraft's stories is featured the Miskatonic University?,"The Miskatonic University is featured in many of Lovecraft's stories, however it first appears in ""The Picture in the House"" (1920), but it is in ""The Dunwich Horror"" (1928) that it is established as a major institution of learning in New England, specializing in the study of antiques and, more 
famously, ancient and forbidden books. 

It is in ""The Case of Charles Dexter Ward"" (1940) that we learn the true extent of the university’s collection and its significance. 

The Miskatonic University is also used as the workplace of two of Lovecraft’s most famous characters, Dr. Armitage and 
Dr. Wheatcroft, the two being the respective heads of the university’s collections of ancient manuscripts and of the medical school. 

The Miskatonic University is also used as a place of study for the young Robert Blake in “The Haunter of the Dark” (1936). 
It is also used as the place of employment of Rev. Phillips, the man who is blackmailing Blake, as he is the university’s librarian.

The Miskatonic University is also used in “The Dreams in the Witch House” (1932) where the protagonist,"
What is the legacy of Lovecraft?,"The legacy of H.P. Lovecraft is immense and far-reaching, 
stretching from his contemporaries to the present day and 
spreading across many different forms of media. Lovecraft’s 
working-out of the Cthulhu Mythos has become the most 
famous and popular of all modern mythologies, and one of 
the most famous of all literary creations. 

 immediately  following  his  death,  his  stories  began  to 
attract a small but dedicated group of fans. It was not until 
the 1960s, however, that his reputation grew, thanks in part 
to the efforts of August Derleth, a contemporary of Lovecraf’t 
and  one  of  his  closest  friends.  Derleth  was  instrumental 
in  creating  the  Mythos  as  we  know  it  today,  both  by 
writing his own stories and by posthumously collaborating with 
Lovecraft. He also founded Arkham House Publishing, the first 
to print Lovecraft’s works, and helped to ensure the perpetua-
tion of the Cthulhu Mythos for a new generation of fans.

Today, the Cthulhu Mythos is"
What are the steps to create an investigator?,"Creating an investigator is a fun and exciting part of playing the Call of Cthulhu game. Here are the steps to create an investigator:

Step 1: Decide on an Era
The  era  in  which  your  investigator  is  born  and  operates 
can  be  important  in  defining  the  period  in  which  they  are 
most active. The era also defines what skills may be of use to 
the investigator. For example, in the 1920s, knowledge of the 
French language and 1920s (or Modern) Firearms skill would 
be of no use to the investigator, whereas in the Modern day, 
these would be important skills. 

Step 2: Generate Characteristics
Seven  characteristics  are  generated  for  each  investigator: 
Strength, Constitution, Size, Intelligence, Power, Dex-
terity, and Appearance. Two more are chosen from the 
other categories of characteristic. The player then rolls for 
these nine characteristics. Characteristics determine the basic 
capabilities of an investigator. 

Step 3: Decide an Occupation
An occupation shows how an investigator earns a living, and 
also provides a social class. An occupation also provides a 
range of"
What modifiers should a player apply for a character that is 70 year old?,"In many roleplaying games, 70 is considered an old person. 
The  exact  modifiers  will  depend  on  the  specific  rules  of 
the game being played, but here are some common ones:

  •  CON  and  SIZ  rolls  should  be  set  to  15  or  less,  or 
reduced by 1 or 2 to reflect a decline in physical fitness and 
strength.

  •  APP  may  be  raised  by  1  or  2  to  reflect  a  more 
world-weary and jaded outlook.

  •  EDU  may  be  raised  by  1  or  2  to  reflect  the  time 
taken to complete a full education in the distant past.

  •  Move  should  be  reduced  by  1  or  2  to  reflect  a  de-
cline in physical fitness.

  •  If  the  investigator’s  current  occupation  does  not  in-
corporate  any  physical  activity,  and  is  a  non-physical  skill 
such as Accountancy or History"
How can a player increase weapons skills?,"In most roleplaying games, weapon skills can be improved through use and practice. Here are some general methods that may be 
applicable to your game:

i  Practice:  Using  the  weapon  successfully  in  a  combat  yields  experience  points  and  a  rise  in  skill.  Each  use 
of the skill in play is a chance to gain experience points and increase the skill. A player may not put dice rolls for skill 
increase on the dice roll for using a weapon in combat (see Firearms, page 112).

i  Training:  A  combat  specialization  skill  (such  as  Fighting  or  Firearms)  may  be  improved  with  a  successful 

Climb skill roll. 

i  Hard  use:  any  use  of  a  weapon  in  a  way  other  than  its  intended  purpose.  For  example,  using  a  knife 
to  pry  open  a  tightly  jammed  door  or  using  a  shotgun  to  blast  open  a  door  (as  opposed  to  using  the 
Brawl skill to bash"
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?","In the main, the skill points for an investigator at the Amateur level will be between 15 and 75. 

Amateur  (15%)  to  Regular  (50%)  skill  points  represent 
the lowest to average skill levels. An investigator with skills in 
this range is an amateur in the field of skill, e.g. someone who 
has only recently picked up a camera, or has only just started 
to pick up and use a firearm.

Regular (50%) to Hard (90%) skill points represent an inter-
mediate skill level. An investigator with a skill in this range has 
some experience of the skill, perhaps enough to allow them to 
use it in a professional capacity. This would be a highly trained 

22 

Call of Cthulhuhuman would be an expert. An investigator would need to have 
a skill of 90% or more to be considered an expert. 

G  Hard: above the Hard difficulty level. This task would 

challenge an expert.

G  Extreme: above the Extreme difficulty level. This task 

would challenge a master.

The  Keeper  may  not  always  be  able  to  accurately  gauge 
the difficulty of a given situation, especially if it"
