question,generated_answer
Who wrote the Necronomicon chapter?,Justin Geoffrey
What is the role of the Keeper in the Call of Cthulhu?,The Keeper is the game moderator and arbiter of conflict.
What dices are needed to play Call of Cthulhu?,Two D100 dice and a pencil
How many dices are needed at a minimum to play the game?,Two
In which of Lovecraft's stories is featured the Miskatonic University?,The Dunwich Horror (1928) and The Shadow Over Innsmouth (1931)
What is the legacy of Lovecraft?,a legacy of cosmic terror
What are the steps to create an investigator?,"Step 1: Choose a Name, Step 2: Choose an Occupation, Step 3: Determine Characteristics, Step 4: Determine Skills, Step 5: Determine Credit Rating, Step 6: Determine Starting Equipment, Step  7: Backstory, Step 8: Choose a Goal"
What modifiers should a player apply for a character that is 70 year old?,Apply modifiers for age and physical health.
How can a player increase weapons skills?,By spending skill points
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",01% to 5%
What is the hypnosis skill?,The ability to induce trance states in another person.
Who decides the difficulty level of a skill roll?,The Keeper
What are the consequences of a successful Pushed Roll?,The investigator is able to push the situation and achieve their goal.
What happens when a player must use more than one skill?,The Keeper should decide which skill to use and award the skill points for that skill.
What are the optional rules of the game system?,"Chases, Damage, Sanity, Sanity Deprivation, Sanity Points, Skills, and Weapons."
What is a Combat Round?,A Combat Round is a unit of time in which each combatant gets one attack.
"If more than one combatants want to attack, who has the right to attack first?",The combatant with the highest DEX
In which situation is a character allowed to escape a close combat?,If the attacker is at a disadvantage
How is a firearm attack resolved?,Rolling 1D100 and comparing it with the firearm's attack number
How does a character recover from a major wound when the Major Wound box is checked?,"A character can only recover from a major wound on the following day, if successful on their CON roll."
Can you provide a short description of how a Chase takes place?,"A chase is a sequence of locations, each with its own hazards and barriers."
What is a speed roll used for during a chase?,To determine the relative speeds of the participants
How many movements can a chase participant take per round?,One movement per round.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can use the same methods as for combat, as well as additional methods such as hazards and barriers."
How are vehicle damages computed after a collision?,By comparing the build points lost in the collision to the vehicle's full build value
What state of insanity exist in the game?,"Temporary insanity, and the game provides rules for it."
How many Sanity points must an investigator loose to become temporary insane?,1D10 Sanity points.
How is it decided how many hours temporary insanity lasts?,1D10 hours
What is the best way to recover from Indefinite Insanity?,The best way to recover from Indefinite Insanity is through the care of a loving partner or a good therapist.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One or two language skill ticks
How can a character learn a spell?,"A character may learn a spell from a book, or from another person."
What type of roll must a player do to cast a spell?,A dice roll
What happens when a spell casting roll fails?,The spell fails and the caster has performed the casting gesture and incantation for nothing.
What information is advised that the Keeper gives to the players before they create their investigators?,The time period and location in which the scenario is set.
What are NPCs?,Non-player characters.
What is an Idea Roll?,An Idea Roll is a dice roll made by the players to determine if they can remember any clues.
What are the Mythos Tomes,Mythos Tomes are a list of books in the game.
What is the Mythos rating of the Celaeno Fragments?,24
When was the Key of Solomon written?,c. 15th century
What are the main spell classes?,"The main spell classes are Enchantment, Illusion, Mind, Necromancy, and Transmutation."
How long does a Banishment of Yde Etad spell last at minimum?,1D10+10 hours
What is the cost of a Bless Blade?,1 magic point
Which spell can a cultist use to get in touch with alien races?,Contact Deity/Entity spell
Who uses Carotid Toxin?,The Mi-Go
What is a Temporal Communicator?,A device that allows two people to communicate with each other at different points in time.
What characteristics are typically possessed by monsters and beasts?,"Monsters and beasts have characteristics such as STR, CON, DEX, and SIZ."
What is the range of build value for a human?,-2 to 2
What is a Crawling One composed of?,"A Crawling One is composed of five globes, each about three feet in diameter."
What is the average STR of the Elder Thing?,65
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,Day 3: Amidst the Ancient Trees
