question,generated_answer
Who wrote the Necronomicon chapter?,August Derleth
What is the role of the Keeper in the Call of Cthulhu?,The Keeper is the final arbiter of what happens next in the game.
What dices are needed to play Call of Cthulhu?,Two 1D100 dice
How many dices are needed at a minimum to play the game?,One
In which of Lovecraft's stories is featured the Miskatonic University?,The Miskatonic University is featured in the stories 'The Dunwich Horror' and 'The Shadow Out of Time'.
What is the legacy of Lovecraft?,A legacy of horror and weird fiction
What are the steps to create an investigator?,"Steps to create an investigator include choosing a profession, selecting skills, and creating an investigator sheet."
What modifiers should a player apply for a character that is 70 year old?,-3 (one penalty die)
How can a player increase weapons skills?,By spending skill points on weapons skill specializations
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",1D6 skill points
What is the hypnosis skill?,Hypnosis skill: 1% (1/1D4)
Who decides the difficulty level of a skill roll?,The Keeper
What are the consequences of a successful Pushed Roll?,The consequences of a successful Pushed Roll can be dire.
What happens when a player must use more than one skill?,The Keeper decides which skill is used.
What are the optional rules of the game system?,The game system includes two optional rules: the 'One-Player Game' and the 'Multi-Player Game'.
What is a Combat Round?,A round in the game where all characters and monsters that can fight take their turn in a round.
"If more than one combatants want to attack, who has the right to attack first?",The one with the highest DEX
In which situation is a character allowed to escape a close combat?,If the character is fighting back
How is a firearm attack resolved?,A firearm attack is resolved by rolling 1D100 and comparing the result with the character’s Firearms skill.
How does a character recover from a major wound when the Major Wound box is checked?,The character recovers 1D3 hit points.
Can you provide a short description of how a Chase takes place?,A Chase takes place when a character is pursuing another character who is running away.
What is a speed roll used for during a chase?,To determine if an investigator can move freely through a location without being slowed by traffic congestion.
How many movements can a chase participant take per round?,One
What methods can the Keeper use to create obstacles and hazards during a chase?,The Keeper can use the following methods to create obstacles and hazards during a chase:
How are vehicle damages computed after a collision?,Roll 3D6 damage for each vehicle involved in the collision.
What state of insanity exist in the game?,There is no state of insanity in the game.
How many Sanity points must an investigator loose to become temporary insane?,1D3
How is it decided how many hours temporary insanity lasts?,The Keeper decides.
What is the best way to recover from Indefinite Insanity?,The best way to recover from Indefinite Insanity is to take a long rest period.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,1D6
How can a character learn a spell?,A character can learn a spell by spending 1D10 magic points and 1D10 Sanity points.
What type of roll must a player do to cast a spell?,A roll must be made to cast a spell.
What happens when a spell casting roll fails?,The spell fails if the roll is fumbled.
What information is advised that the Keeper gives to the players before they create their investigators?,The Keeper advises the players that the investigators are being pursued by the police.
What are NPCs?,Non-player characters
What is an Idea Roll?,An Idea Roll is a dice roll used to generate an idea.
What are the Mythos Tomes,The Mythos Tomes are a collection of books containing the collective knowledge of the Cthulhu Mythos.
What is the Mythos rating of the Celaeno Fragments?,22
When was the Key of Solomon written?,c. 1400
What are the main spell classes?,"Spells are divided into three main categories: Grimoire, Grimoire, and Grimoire."
How long does a Banishment of Yde Etad spell last at minimum?,1D10+6 hours
What is the cost of a Bless Blade?,"$1,000.00"
Which spell can a cultist use to get in touch with alien races?,Contact spell
Who uses Carotid Toxin?,The Deep Ones
What is a Temporal Communicator?,A device that allows for communication with the past or future.
What characteristics are typically possessed by monsters and beasts?,They are often larger and more powerful than humans.
What is the range of build value for a human?,1
What is a Crawling One composed of?,A Crawling One is composed of a group of smaller chitinous creatures.
What is the average STR of the Elder Thing?,100
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,They run into the forest in the middle of the night.
