question,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,The Keeper is the game moderator and has the responsibility for preparing and running the scenario without bias.,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,Two or more people and a set of dice,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,in 'The Dunwich Horror' (1928),You are a helpful AI assistant.
What is the legacy of Lovecraft?,A great many writers have been influenced by Lovecraft and have gone on to write their own stories in the horror genre.,You are a helpful AI assistant.
What are the steps to create an investigator?,"Rolling dice to generate characteristics, choosing a profession, and filling in the investigator sheet.",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"Add one to the character's age in the 'Old, 70s' bracket.",You are a helpful AI assistant.
How can a player increase weapons skills?,By spending skill points when creating an investigator or during play.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",1–9,You are a helpful AI assistant.
What is the hypnosis skill?,The ability to induce sleep or relaxation in another person.,You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The investigator has successfully pushed the limits of their research, and a new discovery has been made.",You are a helpful AI assistant.
What happens when a player must use more than one skill?,The difficulty level is raised by one step,You are a helpful AI assistant.
What are the optional rules of the game system?,The following are the optional rules of the game system.,You are a helpful AI assistant.
What is a Combat Round?,"A Combat Round is a concept in tabletop role-playing games, specifically in Call of Cthulhu, where players take turns to resolve actions in a turn-based system.",You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?",The combatant with the highest DEX,You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,A character is never allowed to escape a close combat situation.,You are a helpful AI assistant.
How is a firearm attack resolved?,"Like any other attack, with the target's Luck being used to oppose the attack",You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,The character does not recover until after a period of days of rest and medical care.,You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A series of locations, with each side taking one movement action by default.",You are a helpful AI assistant.
What is a speed roll used for during a chase?,To determine the distance between the pursuer and fleeing character at the end of a round.,You are a helpful AI assistant.
How many movements can a chase participant take per round?,1 or more,You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,The Keeper can use either the 'Obvious Hazard' method or the 'Spot Hidden' skill to create obstacles and hazards.,You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By totaling the damage listed for each hazard,You are a helpful AI assistant.
What state of insanity exist in the game?,Two states of insanity: temporary and indefinite.,You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,1D6 Sanity points,You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,"At the Keeper's discretion, or 1D10 hours",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,Under the care of a loved one.,You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,1D3 language skill ticks,You are a helpful AI assistant.
How can a character learn a spell?,"A character may learn a spell from a book, or by word of mouth from another person.",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,An opposed POW roll,You are a helpful AI assistant.
What happens when a spell casting roll fails?,The spell does not work.,You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,"The date and location of the scenario, and any other information that might help them create suitable investigators.",You are a helpful AI assistant.
What are NPCs?,Non-player characters.,You are a helpful AI assistant.
What is an Idea Roll?,An Idea Roll is a 1D100 roll that can be used to determine if the investigators get the clue.,You are a helpful AI assistant.
What are the Mythos Tomes,Tomes of Eldritch Lore,You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,24,You are a helpful AI assistant.
When was the Key of Solomon written?,Late sixteenth century,You are a helpful AI assistant.
What are the main spell classes?,"Call/Dismiss, Contact, and Summon/Bind",You are a helpful AI assistant.
How long does a Banishment of Yde Etad spell last at minimum?,24 hours,You are a helpful AI assistant.
What is the cost of a Bless Blade?,1 POW; 1D4 Sanity points,You are a helpful AI assistant.
Which spell can a cultist use to get in touch with alien races?,Contact Deity/Nyarlathotep,You are a helpful AI assistant.
Who uses Carotid Toxin?,The Serpent people,You are a helpful AI assistant.
What is a Temporal Communicator?,A device that allows the user to communicate with individuals living in any era in which a shan outpost exists.,You are a helpful AI assistant.
What characteristics are typically possessed by monsters and beasts?,Monsters and beasts do not have the same range of characteristics as human characters.,You are a helpful AI assistant.
What is the range of build value for a human?,-2 to 2,You are a helpful AI assistant.
What is a Crawling One composed of?,"It is composed of a dozen or so of these globes, each about the size of a large egg.",You are a helpful AI assistant.
What is the average STR of the Elder Thing?,95,You are a helpful AI assistant.
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,Clayton and Harris run into the forest on Day 1.,You are a helpful AI assistant.
