question,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,The Keeper is the final arbiter of the game rules and should endeavor to maintain balance and fairness in the game.,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,Two or more people and a roll of 1D100,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,in the stories 'The Dunwich Horror' (1928) and 'The Shadow Out of Time' (1934-1935),You are a helpful AI assistant.
What is the legacy of Lovecraft?,A vast and varied legacy that continues to grow,You are a helpful AI assistant.
What are the steps to create an investigator?,"To create an investigator, the player must choose a species, then select a sex, and finally choose an appearance.",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"Apply the following modifiers to the character’s abilities: –5 to STR, –5 to CON, –5 to DEX, and –5 to APP.",You are a helpful AI assistant.
How can a player increase weapons skills?,By spending skill points to purchase the 'Fighting' specialization.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",01%–05%,You are a helpful AI assistant.
What is the hypnosis skill?,The ability to induce a state of hypnosis in a willing target.,You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,"The Keeper, possibly in discussion with the player group.",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The consequences of a successful Pushed Roll include the investigator getting the information, but at a great cost, such as being attacked, arrested, or sued.",You are a helpful AI assistant.
What happens when a player must use more than one skill?,Combined Skill Rolls,You are a helpful AI assistant.
What are the optional rules of the game system?,"The rules for chases, sanity, and combat are not essential to playing the game.",You are a helpful AI assistant.
What is a Combat Round?,A Combat Round is a period in the game when everyone wishing to act has a chance to complete at least one action.,You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?",The combatant with the highest DEX,You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,When outnumbered,You are a helpful AI assistant.
How is a firearm attack resolved?,With an opposed roll between the attacker's Firearms skill and the target's Dodge skill.,You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,"A character recovers 1 hit point per day, but may not recover more than the number of hit points lost to the major wound.",You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,A Chase takes place when characters or vehicles try to catch or evade each other.,You are a helpful AI assistant.
What is a speed roll used for during a chase?,To determine the pursuer's speed,You are a helpful AI assistant.
How many movements can a chase participant take per round?,1,You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,"The Keeper can use the usual methods to create obstacles and hazards, such as a crowded street, a traffic jam, or a pedestrian crossing.",You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By totaling the build points of the two vehicles and dividing by 10 to get a rating in 'hit points',You are a helpful AI assistant.
What state of insanity exist in the game?,Two states of insanity exist in the game: temporary and indefinite.,You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,1D10 Sanity points,You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,"The Keeper decides, or the player rolls 1D10 hours.",You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,By undergoing a successful Reality Check roll (see page 162),You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,1D6,You are a helpful AI assistant.
How can a character learn a spell?,"A character can learn a spell from another person, by reading a book, or by dreaming it.",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,An opposed INT roll,You are a helpful AI assistant.
What happens when a spell casting roll fails?,The spell still works normally.,You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,The basic premise of the scenario and the information that will be given to the players as they play.,You are a helpful AI assistant.
What are NPCs?,"Non-player characters, people or things in the game world that are not controlled by the players.",You are a helpful AI assistant.
What is an Idea Roll?,An Idea Roll is a dice roll used to determine whether things restart well for the investigators or not.,You are a helpful AI assistant.
What are the Mythos Tomes,"Tomes of Eldritch Lore, Tomes of Magic, Tomes of Occult Lore",You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,24,You are a helpful AI assistant.
When was the Key of Solomon written?,c. 950,You are a helpful AI assistant.
What are the main spell classes?,"Call, Contact, and Commune",You are a helpful AI assistant.
How long does a Banishment of Yde Etad spell last at minimum?,1D6+4 hours,You are a helpful AI assistant.
What is the cost of a Bless Blade?,Cost: 1D4+1 magic points,You are a helpful AI assistant.
Which spell can a cultist use to get in touch with alien races?,Contact Deity/Nyarlathotep,You are a helpful AI assistant.
Who uses Carotid Toxin?,The Carotid Toxin is used by the serpent people.,You are a helpful AI assistant.
What is a Temporal Communicator?,A device that allows communication with other times and dimensions.,You are a helpful AI assistant.
What characteristics are typically possessed by monsters and beasts?,Monsters and beasts rarely possess the characteristics of humans.,You are a helpful AI assistant.
What is the range of build value for a human?,–2 to 2,You are a helpful AI assistant.
What is a Crawling One composed of?,"corpse, dust, and saliva",You are a helpful AI assistant.
What is the average STR of the Elder Thing?,95,You are a helpful AI assistant.
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,"Day 1, at dawn",You are a helpful AI assistant.
