question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,Dr. John Dee,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,Keeper,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"A 4-sided (D4), 6-sided (D6), 8-sided (D8), 10-sided (D10), 100-sided (D100) percentile dice, and a pencil and notepaper for recording hit points and other statistics.",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,The Haunter of the Dark,You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,Lovecraft's legacy can be seen in the numerous authors he has influenced.,You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,Step 1: Create a concept for your investigator.,You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"1D6 to STR, CON, and DEX, and 2D6 to SIZ and APP.",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,By spending skill points to increase the base value of a weapon skill.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,1D10,You are a helpful AI assistant.
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,"A skill that allows a character to induce a trancelike state in a target, making the target more susceptible to suggestion.",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,The Keeper decides the difficulty level of a skill roll.,You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,The consequences of a failed Pushed roll are up to the Keeper.,You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,The Keeper should use the higher of the two skills.,You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,Optional rules,You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,A combat round is a period of time during which each character gets a chance to act.,You are a helpful AI assistant.
