question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional book in the Cthulhu Mythos created by the American author H.P. Lovecraft. 

The Necronomicon is attributed to the Arab Abdul Al-hazred, who wrote it in the 12th century. However, the version that Lovecraft used as his source was apparently a Greek translation, although the original Arabic version has also been mentioned. 

The Greek version was apparently written by Theodoras Philetas in the 15th century. It was from this version that Lovecraft got most of his information about the Necronomicon. 

Other versions and partial copies of the Necronomicon exist. A Latin version was apparently made in the 15th century, as was a German version. A complete Arabic version is held by the British Museum. 

In 1915, a copy of the Greek version of the Necronomicon was discovered by Dr. John Dee, a consultant to Queen Elizabeth the First of England. The book had apparently come from the library of the infamous witch-trial prosecutor, Sir William  Lancaster.  The  Greek  Necronomicon  was  printed  in  Egypt  in  the  12th  century,  although  earlier",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In Call of Cthulhu, the Keeper is the game moderator, taking 
the role of narrator and arbiter of the rules. The Keeper is 
the player's opponent in the game and is in charge of putting 
obstacles, enemies and mysteries in the investigators' way. The 
Keeper is the person who creates, presents, and controls the 
non-player characters, monsters, and deities in the game. The 
Keeper is also in charge of setting the scene, describing the 
situations, and controlling the non-player characters, monsters 
and deities, as well as keeping track of the various book values, 
magic points, hit points, and so on. 

The Keeper’s  role  is  that  of  game  moderator,  rules 
referee,  and  story  narrator  all  rolled  into  one.  Keeper 
personality  has  a  big  effect  on  the  game;  a  dull  Keeper 
will have dull games, while a good one will make the game come 
to life. Above all, the Keeper must be a good storyteller, able 
to weave the various threads of the game into a fascinating tale 
that draws the players in and",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To play Call of Cthulhu, you will need the following dice:

1.  Four  six-sided  dice  (D6),  one  of  which  is  a  1D6 
percentile die (noted as D6 or 1D6 on some dice). The stan-
dard  dice  found  in  most  game  stores  contain  the  numbers 
1 through 10 on one die and the numbers 11 through 20 on the 
other. This pair of dice are used for percentage rolls by using the 
number rolled on the 10-sided die and adding it to the number 
rolled on the 20-sided die (read as ""4 and 18"" being rolled as 
42). 

1D4, 2D4, 3D4, etc. are used to denote a die or dice of vari-
ous sizes. 1D6, for example, means a 6-sided die. The ""D"" 
stands for ""die"" or ""dice"". If more than one die are called for, 
the number in front of the ""D"" denotes how many dice are to be 
rolled and the number after the ""D"" denotes the",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"The minimum number of players for many roleplaying games is three; one person to play the role of Keeper (also known as a Game Moderator or 
Keeper of Arcane Lore) and two players to roleplay investigators. More players can join in as investigators. Some versions of games 
have different rules for solo play, where one player plays the investigator and also takes on the role of Keeper.

It is not possible to have a game with only one player, as the interactive nature of the game is based on discussion and de-
cision-making between players. Roleplaying is about people, people in an atmosphere of fear, excitement, surprise, confusion, 
laughter, and adventure. 

The more players you have, the more characters you have to choose from and the more exciting the game can become. How-
ever, as the number of players increases, so does the amount of organization and preparation required. 

Three to five players are ideal. With this many players, everyone gets a chance to play a variety of investigators and non-player 
characters.  It  is  not  essential  to  have  a  balance  of  male  and 
female investigators. Whatever you and your group enjoy is what 
is most important. 

When more than five players gather",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The Miskatonic University is featured in many of Lovecraft's stories, however it first appears in ""The Picture in the House"" (1920), but it is in ""The Dunwich Horror"" (1928) that it is established as a major institution of learning in New England, specializing in the study of antiques and, more specifically, 
the occult. It is here that many of Lovecraft’s stories are set. Other 
stories in which the Miskatonic University features include ""The 
Call of Cthulhu"" (1926), ""The Case of Charles Dexter Ward"" (1940 
in a greatly expanded form, 1931-1932 as a story fragment), ""The 
Haunter of the Dark"" (1936), and ""The Dreams in the Witch House"" 
(1932-1933). The university is also mentioned in ""The Shadow 
over Innsmouth"" (1931), ""The Shadow Out of Time"" (1934-1935), 
and ""The Thing on the Doorstep"" (1933-1934). 

The Miskatonic University is also used in several of Lovecraft’s 
other stories, including ""The Dreams in the Witch House"" and ""The",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"The legacy of H.P. Lovecraft is immense and far-reaching, 
stretching from his contemporaries to the present day and 
spreading across many different forms of media. Lovecraft’s 
working-out of the Cthulhu Mythos has become the most 
famous and popular of all modern mythologies, and one of 
the most successful of all fictional universes. His stories have 
been translated into more than a dozen languages, and have 
fanned out to every continent on Earth. 

His stories have been made into films and television shows, 
and he is credited with influencing more than 50 authors, 
including such household names as Stephen King. Lovecraft’s 
Cthulhu  Mythos  has  become  a  shared  fictional  universe 
in  which  many  authors  may  set  their  stories,  expanding 
upon the world and its mythology. Lovecraft himself wrote 
that his stories were a “weird tapestry” and that he hoped 
others would add to it after him. Today, his “tapestry” is a 
rich  and  complex  one,  with  many  threads  added  to  his 
original designs by his followers. His legacy stretches",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Creating an investigator is a fun and exciting part of playing the Call of Cthulhu game. Here are the steps to create an investigator:

Step 1: Decide on an Era
The  era  in  which  your  investigator  is  born  and  operates 
can  be  important  in  defining  your  investigator’s  backstory 
and  the  equipment  and  skills  that  are  available.  The  eras 
are:
Gilded Age (pre-1920s): Late 19th century to the early 20th 
century. For the most part, this period aligns with the rules 
for the Modern Day. The end of this period is marked by the 
prohibition era in the United States.

Modern Day: 1920s to present. The rules for this period 
are the same as for the Modern Day era, simply starting with 
a more advanced level of skill and artifact availability.

Step 2: Generate Characteristics
A  characteristic  is  a  numerical  value  that  helps  to  define 
your investigator and determine his or her relative capability. 
There are eight characteristics:

G  Strength (STR): A measure of physical might. 

",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"In many roleplaying games, 70 is considered an old person. 
The  exact  modifiers  will  depend  on  the  specific  rules  of 
the game being played, but here are some common ones:

  •  CON  and  SIZ  rolls  should  be  multiplied  by  2  for 
a  70-year-old  person,  reflecting  the  loss  of  muscle  and 
physical strength that occurs with old age.

  •  APP  and  DEX  rolls  should  be  multiplied  by  1.5,  as 
these characteristics are less affected by age. EDU might also 
be raised by 1D6 to reflect the person’s accumulated knowl-
edge and wisdom.

  •  Reduce  MOV  by  1  for  every  10  points  of  age  over 
40. Thus a 50-year-old would have MOV 4, a 51-year-old 
would have MOV 3, and so on.

  •  Reduce  APP  by  1  for  every  10  percentage  points  of 
Age that exceed 50. Thus an investigator of ",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In most roleplaying games, weapon skills can be improved through use and practice. Here are some general methods that may be 
applicable to your game:

i  Practice:  Using  the  weapon  successfully  in  a  combat  yields  experience  points  and  a  rise  in  skill.  Each  use 
of the skill in play is a chance to gain experience points and so rise in skill. Each skill gain might also allow the use of 
more advanced techniques with the weapon.

i  Training:  Formal  tuition  from  a  tutor  is  the  best  way  to  learn  a  skill.  The  tutor  may  be  a  fellow  investigator, 
a professor, or even a criminal enabler. The Keeper may make a skill roll to determine the success of the teaching. A Luck 
roll may also be required. The student can then gain double the normal amount of skill points for a successful roll. The tutor 
must be at least as skilled in the subject as the student. The teacher and student must work without interruption. The student 
can gain a maximum of 20 skill points in one learning roll. This cannot be gained in a single game session,",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"In the main, the skill points for an Amateur in a skill are between 5 and 20. 

An  investigator  can  spend  skill  points  to  raise  any  skill  to 
equal  their  own  personal  skill  points.  Thus  an  investigator 
with  a  Credit  Rating  of  75  can  spend  skill  points  to  raise 
their  Fighting  (Brawl)  skill  to  75%.  An  investigator  with  a 
Credit Rating of 89 can spend skill points to raise their Fighting 
(Brawl) skill to 89%. 

In  this  way  an  investigator  can  become  an  expert  in  a 
fighting  style  without  taking  a  Fighting  specialism  skill.  A 
character can spend skill points to purchase any skill specialization. 
Fighting skill specializations represent a character’s expertise in 
using weapons in close combat. The generic Fighting skill can be 
used when the type of weapon is not specified or when fighting 
with the hands, feet, or any other body part. 

Opposing skill/Difficulty level: 

i  Regular  difficulty",You are a helpful AI assistant.
What is the hypnosis skill?,"It is the ability to induce another person in a trancelike state, which allows the person to relax and recall memories that were forgotten. The limits of the skill during the game are decided by the Keeper, for example if the player is able to use the skill on an unwilling target.",4,"The Hypnosis skill in roleplaying games is typically used to 
gauge the success or failure of an attempt to hypnotize or sug-
gest to an individual, whether it be to influence a non-player 
character in the game or to keep an investigator under control. 
It is up to the player whether an investigator is aware of being 
hypnotized or influenced by suggestion; however, if the investi-
gator is aware, a successful Psychology roll allows him or her to 
resist. 

Opposing skill/Difficulty level: 

i  Hypnosis is 10% less likely to succeed when the subject 

is under the influence of another emotion (such as fear).

i  Hypnosis  is  20%  less  likely  to  succeed  if  the  subject 

is aware of the hypnotist’s intentions.

i  Hypnosis  is  20%  less  likely  to  succeed  if  the  subject 

is in a state of strong emotional arousal.

i  Hypnosis  is  20%  less  likely  to  succeed  if  the  subject 

is distracted (e.g. watching TV).

Pushing  examples:  getting  up  close  and ",You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,5,"The Keeper sets the difficulty level of a skill roll. 

The player declares their intention and then the Keeper decides 
whether the difficulty level should be Regular, Hard, or Extreme. 
The Keeper should not allow a player to dictate the difficulty 
level of a skill roll. 

The Keeper should consider the difficulty level in relation to 
the current situation within the game. The odds should be fair 
for the investigator, but the Keeper should not be bound by the 
mathematical probability of winning or losing. 

If the player has stated an intention to attempt something, 
the Keeper should consider what skill or characteristic would 
be used to test the situation and be ready to set a difficulty 
level. Setting difficulty levels is an important part of being a 
Keeper and every effort should be made to set one for each 
skill roll. 

The  Keeper  should  welcome  suggestions  from  players  for 
difficulty levels, but is not bound by them. The player and the 
Keeper should work together to set a difficulty level for the roll. 
The player states a goal and the Keeper either accepts the goal 
or helps the player to rephrase the goal to create a new chal-
lenge; one that is suitable for the skill level of",You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,"The goal of the player are achieved as it would have been with the original role, without further consequences",5,"When  a  skill  roll  is  pushed,  the  consequence  of  failure  is 
always  negative.  The  negative  consequence  of  a  pushed  roll 
should  be  significant  to  the  game;  an  investigator  is  usually 
only motivated to push a skill roll if the potential gain is worth 
the risk. 

The Keeper should always consider the following options when 
determining the consequence of a pushed roll:

G  An  investigator  is  no  closer  to  their  goal  than  they 

were before the pushed roll.

G  The  investigator  has  moved  closer  to  the  enemy,  or 

has brought themselves or others into danger.

G  The  investigator  has  caused  offense  or  done  some-

thing that will lead to trouble in the future.

G  The  investigator  has  spent  a  lot  of  time  and  money 

on the research.

G  The  investigator  has  discovered  something  they  did 

not anticipate.

G  The  investigator  has  been  robbed  or  mugged  while 

researching.

G  The",You are a helpful AI assistant.
What happens when a player must use more than one skill?,"The Keeper decides if the player must roll a dice for each skill, or roll the dice only once. In the latter case, player makes only one dice roll and then applies the result to each of the skills",5,"When  a  player  is  required  to  use  more  than  one  skill  to 
achieve  a  task,  the  difficulty  level  is  never  lowered.  The 
player must choose the skill that seems to be the most appropri-
ate for the task. The Keeper may offer a suggestion, but the final 
decision is up to the player.

The player declares what they are attempting to do and the 
Keeper then states the difficulty level of the roll, using one of 
the following levels of difficulty. 

The difficulty level of a given skill roll is not something that 
can be bought; it is relative to the task and not to the char-
acter’s skill level. A skill of 50% is not hard, regular, or hard; 
it is just a skill of 50%. If the task is exceptionally easy then a 
Bonus die is awarded. If the task is exceptionally difficult a Pen-
alty die is applied. 

Regular difficulty: a competent person could perform the task 
with a little time and effort. The player should set a difficulty 
level that is just below their skill level.

Hard difficulty:  this  task  is  on  the  border  of ",You are a helpful AI assistant.
What are the optional rules of the game system?,There are two optional rules: Spending Luck and Recovering Luck Points,5,"I'm not actually a game moderator, and I don't know the specific game system you are referring to. I can tell you about some common optional rules found in some 
mainstream games, but this will depend on the game you are playing. 

Cash and Assets:  The  standard  rules  are  usually  sufficient. 
However, if you wish to incorporate more complexity, you might 
consider allowing the players to spend their cash however they 
like (within reason), and record the remaining amount. This is 
how they wish to allocate their funds. 

Movement Rate:  The  standard  rules  use  a  movement  ac-
tion each round to allow the players to move their investigators 
and  non-player  characters  around  the  scene.  Some  games 
may wish to use a more detailed method, such as tracking each 
movement  action,  or  even  using  meters  or  inches  on  the 
playing surface.

Prone:  Characters  are  prone  after  a  successful  maneuver 
that uses a fighting maneuver to knock an opponent to the floor. 
A  character  is  also  prone  if  they  fall  from  a  height ",You are a helpful AI assistant.
What is a Combat Round?,It is a unit of time in which each player can perform at least one action during combat.,6,"In a tabletop roleplaying game, a combat round is a specific period 
of  game  time  during  a  fight  in  which  every  participant  has 
an opportunity to act. 

A combat round is not second to second, it is more like a frac-
tion of a second for a skilled fighter. A character is allowed to act 
once per round, unless they have multiple attacks in which case they 
may act multiple times. 

Characters  that  are  physically  capable  of  acting  do  so  on 
their  turn  in  the  order  determined  by  their  DEX  (highest  to 
lowest).  Non-player  characters  and  monsters  act  on  their  turn 
in the order determined by the Keeper.

A combat round is over when everyone has had their turn; 
characters  that  have  more  than  one  attack  still  only  get  one 
round in which to make all of their attacks. 

T  A  character  may  hold  a  grenade  or  stick  of  dynamite 
until their turn in the order, when they detonate it.

T  A character may use their",You are a helpful AI assistant.
