question,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,"The Necronomicon was written by many authors, as it is a 
compendium of magical and horrific lore. The greater portion 
of the work was written by the mad Arab, Abdul Al-hazred, in 
the year 730. However, other authors are known to have con-
tributed to the Necronomicon, although the extent of their 
involvement is unknown. 

The Necronomicon is believed to be a translation of an 
even older and forgotten work, the Al Azif. The Al Azif was 
written by the inhabitants of Hyperborea and concerns themselves 
with the gods,  creatures,  and  magic  of  the  Cthulhu  Mythos. 
The Al Azif was never translated into any other language and it 
is believed that only a few copies of the original Arabic exist. 

The year 950 marks the beginning of the medieval renaiss-
ance in Europe, and it is in this period that the first manuscrip-
ts of the Al Azif begin to appear in the south of France. These 
earliest  versions  are  incomplete,  inaccurate,  and  bereft  of 
the illustrations. As the centuries progress,",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"In Call of Cthulhu, the Keeper is the game moderator, taking the role of 
referee, presenter, and co-player all in one. The Keeper is the game 
control center, ensuring that the rules are applied fairly and that 
the game flows well. The Keeper should be familiar with the rules 
and be able to convey them to the players. Most importantly, the 
Keeper loves the game and is passionate about presenting an enjoy-
able experience for all players. 

New Keepers
If  you’ve  never  played  a  roleplaying  game  before  you’re  in 
for a treat. You’ll soon learn whether you’ll prefer to be in charge 
of the dice and running the game for your friends or be content 
to play a character and let someone else run the game. Either 
way, you’ll have lots of fun.

This  chapter  provides  a  step-by-step  guide  to  creating  a 
Lovecraftian  adventure,  enough  to  give  you  confidence  to 
try running a game with your friends. At the end of this chapter 
there is a complete example of a low-level scenario for you to 
play through. 

Before  you ",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"To play Call of Cthulhu, you’ll need the following dice:

1.  Four  six-sided  dice  (D6)  (usually  abbreviated  as  ""D6""  and 
sometimes called ""pips""). Most of the rolling in Call of Cthulhu 
is  done  with  six-sided  dice.  You  can  find  these  in  most  toy 
stores  that  sell  board  games.  Two  of  these  make  a  ""pair""  or 
""pair of tens"". If you have four of these, you have a ""pair of pairs"" 
or ""quarter"". 

1D6 reads ""one D-six"".

2.  One  eight-sided  die  (D8);  you  can  find  these  in  some 
hobby  stores  and  online.  Read  an  eight-sided  die  as  ""one 
D-eight"".

3.  One  ten-sided  die  (D10);  you  can  find  these  in  some 
hobby stores and online. Read a ten-sided die as “one D-ten”.

4.  One  percentile",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,"I'm assuming you are referring to a dice game, likely a tabletop roleplaying game (RPG). The most well-known RPG is the ""Call of Cthulhu"" game. 

A pair of percentile dice (d100) and four six-sided dice (d6) make up the standard set of dice for Call of Cthulhu. 

You can buy a set of dice that includes the three required dice (a d4, d6, and d100) plus some extra dice, or you can buy individual dice and cut up two of them to make the required dice. 

If you don’t have access to the required dice, you can substitute with a combination of a 4-sided die (d4) and a 6-sided die (d6). A d4 can be read as a d2 (half of a d4 is a 1 or 2) and a d6 can be read as a d3 (half of a d6 is a 1, 2 or 3). Together they can simulate a d10 (1 to 10) and a d100 (1 to 100).

Alternatively  you  might  have  access  to  dice  that  are 
larger or smaller",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"The  Miskatonic  University  is  mentioned  or  featured  in  many  of  H.P.  Lovecraft’s  stories,  but  its  first  appearance  is  in  the  1921  story  ""The  Hound  of  Tindalos""  (although  not  by  Lovecraft,  but  by  Frank  Belknap  Long).  Lovecraft  frequently  referenced  it  in  his  stories  and  it  is  most  commonly  found  in  his  tales  of  the  Cthulhu  Mythos.  The  Miskatonic  University  is  located  in  the  fictional  town  of  Arkham,  although  its  full  name  is  the  Miskatonic  University  of  Arkham.  The  university  is  modeled  after  the  real  life  Miskatonic  University  of  the  city  of  Providence,  Rhode  Island,  which  was  founded  in  1828  and  is  named  after  a  17th-century ",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"The legacy of H.P. Lovecraft is immense and far-reaching, 
stretching far beyond the realm of literature and into film, 
television, comics, role-playing games, and popular culture 
in general. Lovecraft’s stories have become the basis for the 
modern horror genre, and his creations, particularly Cthulhu 
and the Necronomicon, have become well-known horror icons. 
His stories have influenced some of the most famous horror 
writers of our time, including Stephen King, who has often 
acknowledged Lovecraft’s influence on his work. 

Lovecraftian  games,  particularly  the  roleplaying  game 
Call  of  Cthulhu,  have  become  a  favorite  pastime  for 
hundreds of thousands of people around the world. 

In  this  book  you  are  invited  to  become  a  part  of 
this  growing  group  of  people  who  create  and  participate 
in Lovecraftian adventures. You will find everything you need 
to start playing this horror roleplaying game in these pages, 
including rules for creating investigators, the tools for game 
moderation, and most importantly an introduction to",You are a helpful AI assistant.
What are the steps to create an investigator?,"To create an investigator in the 1920s, follow these steps:

Step 1: Generate Characteristics
Find a dice and roll 3D6 (3 six-sided dice) to generate five 
characteristic values, then multiply each by 5. These are the 
investigator's characteristics (see page 32).

Step 2: Determine Occupation
Choose an occupation (pages 68-69) that fits your idea for 
the investigator. Each occupation has its own list of skills, 
and some occupations require specific skill combinations or 
specific skill values. Some occupations are only suitable to 
certain types of stories and campaigns.

Step 3: Decide Characteristics
All  investigators  have  the  following  characteristics:  APP 
(appearance),  EDU  (education),  IDE  (ideology/beliefs), 
INT (intelligence), POW (power), and DEX (dexterity). 

Other  characteristics,  such  as  Sanity,  are  not  rolled  up 
front;  they  fluctuate  during  play.  Characteristics  are  rolled 
differently  depending  on  the  version  of  the  game  you  are 
playing. The 7th",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"According to  the  rulebook,  one  penalty  die  is  applied  to 
physical  characteristics  (see  Damage  Bonus  and  Build, 
page 33) if they are in the 60-69 age bracket, and two penalty 
dice are applied in the 70-79 age bracket. Three penalty dice 
are applied in the 80-89 age bracket and four penalty dice in 
the 90+ age bracket. 

Note  that  these  are  penalties,  applied  directly  to  the 
character’s  dice  rolls,  and  so  should  be  recorded  as  penalty 
dice on the investigator sheet. 

Luck
The Luck score is used to determine how many Luck points a 
character  has,  and  thus  how  many  Luck  points  can  be  spent 
during the game (see Luck, above). 

Luck points are used to alter dice rolls and, as such, they can 
affect the outcome of investigator development. 

A high Luck score can indicate that the investigator is in 
good health, while a low Luck score may mean that the inves-
tigator is prone to illness and blighted by bad",You are a helpful AI assistant.
How can a player increase weapons skills?,"In the game, weapon skills can be increased through use and practice. When an investigator uses a weapon in a successful attack, the user gains a degree of experience with the weapon. 

There is a good old-fashioned skill called ""Fighting"" that em-
braces  a  wide  variety  of  unarmed  and  simple  weapons.  If  a 
character  is  using  a  more  complex  weapon  (such  as  a  rifle) 
with which they are unfamiliar, they must use the ""Firearms"" 
skill.  If  they  are  using  a  weapon  with  which  they  are  less 
familiar, they may use the ""Fighting"" skill. For example, if an 
investigator were to use an axe (a weapon with which they are 
less familiar) in a fight, they would have to make a Fresh-
ness  roll  (roll  equal  to  or  less  than  their  Fighting  skill)  to 
see if they are able to use it effectively. If the roll is failed, the 
character may still fight back, but takes a penalty die.

Weapons  with  which  the  character  is",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?","At the Amateur level, the skill points for an investigator are rolled between 5 and 20.",You are a helpful AI assistant.
