question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional book in the Cthulhu Mythos created by 
H.P. Lovecraft. While it is generally attributed to the mad Arab Abdul 
Alhazred, it was actually written by many authors over the course 
of history. Each chapter of the Necronomicon is a different sectiion 
written by a different cultist or sorcerer. 

Abdul Alhazred is the commonly accepted author of the classic 
Necronomicon translation, the Greek Necronomicon. He lived in 
the 12th century and is believed to have originated the work. How-
ever, recent scholarship suggests that Alhazred did not write the 
work at all, but rather it is a translation of his writings by a Greek 
scholar, Theodoras Philetas, living in the 12th century. 

Other languages and partial translations are also known to exist. 
The  exact  number  of  Necronomicon  translations  and  partial 
translations is unknown, as Miskatonic University Library alone 
lists twelve different versions. Some are of poorer quality than 
others. The version translated by Dr. John Dee is particularly 
notorious, as",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In Call of Cthulhu, the Keeper is the game moderator or referee. The Keeper is the player of the ""enemy"" characters and non-player 
characters (NPCs) in the game and is responsible for creating and running the plot, describing the scene, moving non-player char-
acters, controlling monsters and enemies, and deciding if the investigators succeed or fail in their endeavors. 

The Keeper is the rules arbiter,  ensuring  that  the  game  runs  smoothly  and  that  the  rules  are  applied  fairly  and  consistently. 
In  addition,  the  Keeper  prepares  the  ""skeleton""  of  a  scenario,  including  the  important  non-player  characters,  the  key 
events and the monsters, and runs the game, controlling these elements and describing the outcome of the investigators’ actions. 
The Keeper is the game’s rules expert and arbiter of the game rules. The Keeper should read and fully study the rules of the 
game before running a scenario. 

The Keeper will need to prepare a little before the game. This will depend on the scenario; some scenarios require little more 
than a few handouts and a basic outline of how to",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To  play  Call  of  Cthulhu,  you  will  need  a  set  of  dice,  in 
particular a 6-sided die (D6), a 4-sided die (D4), a 8-sided die 
(D8) and a 10-sided die (D10) and a 100-sided die (D100). The 
D100 is also known as percentiles dice as it is used to generate 
percentile results. Most Call of Cthulhu dice come in the form 
of a combination dice that includes a D4, D6, D8 and D10 all on 
one dice, with the numbers marked on the sides of the dice. You 
will also find a D100 (percentile dice) in the Investigator Sheet 
and in most gaming stores. 

Note: You will also need paper, pencils, and erasers to keep 
track of investigator development. A investigator sheet can be 
downloaded from the website. 

Roleplaying Dice
There is an enormous range of roleplaying dice available, both 
from game manufacturers and from general hobby companies. 
You can buy dice in a range of sizes and with a range of num-
bers on them",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"The  minimum  number  of  players  needed  to  play  many 
versions of this game is 2. However, with the various options 
and scenarios available, games can be played with as many 
as  6  or  more  players,  with  some  players  taking  on  the 
role of investigators, while others take on the role of the 
Keeper (also referred to as the game moderator) in charge 
of running the game for the rest of the players. 

Call  of  Cthulhu  is  a  horror-themed  roleplaying 
game. You will need to create an investigator to play the 
game. You will also need someone to act as the Keeper—
the Keeper is the game moderator and is in charge of prep-
aring a scenario for the players, running the game and 
controlling  the  non-player  characters.  The  Keeper  is 
also responsible for making decisions on how the “horror 
elements” of the game are presented to the players. 

You don’t need to buy anything else. We will provide 
you with everything that you need to play the game. 

Note: If you are using a digital version of this book",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The Miskatonic University is featured in many of H.P. 
Lovecraft’s stories, however it first appears in ""The Picture 
in  the  House""  (1920),  and  also  in  ""Herbert  West—Reanimator"" 
(1921-1922). It is in ""The Call of Cthulhu"" (1926) that the 
Miskatonic  University  is  most  frequently  mentioned.  Other 
stories  to  feature  the  university  include  ""The  Case  of  Charles 
Dexter Ward"" and ""The Dreams in the Witch House"".

The Miskatonic University is an ancient and (in the mod-
ern era) excellent school of learning, with a faculty and student 
body of over a thousand. Its library is said to be one of the great 
repositories of tomes in the United States. The university’s col-
lection of manuscripts is second only to that of the Widener Library 
at Harvard. The university’s collection is strong in rare books as 
well, with many volumes of the Renaissance era, and numerous 
first editions of modern authors, including H.P. Lovecraft. 

The  H.P.",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"The legacy of H.P. Lovecraft is immense and far-reaching, 
with his work influencing a vast array of other authors, 
film and television producers, and game designers. Love-
craft’s stories have become a shared mythos, referred to as 
the  Cthulhu  Mythos,  in  which  his  fictional  creations 
have become well-known monsters of modern popular culture. 
Lovecraft’s fiction has had a major influence on a wide range 
of other authors, including Stephen King, Clive Barker, Neil 
Gaiman,  Joe  Raimi  (of  The  Evil  Dead  franchise),  Frank 
Darabont  (of  The  Green  Mile  and  The  Mist),  Guillermo 
del Toro (Crimson Peak, Pan’s Labyrinth), and many more. 
Lovecraftian  stories  have  also  been  adapted  into  films 
and  television  shows,  including  John  Carpenter’s  In  the 
Mouth  of  Madness,  Stuart  Gordon’s  Re-Animator,  the  TV 
show  The  X-Files,  and  the  current  TV  series  Stranger",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"To create an investigator for a game of Call of Cthulhu, follow 
these steps:

Step 1: Generate Characteristics
A  characteristic  is  one  of  eight  core  statistics  that  deter-
mine an investigator’s capacity in a given area. Roll 3D6 and 
multiply by 5 for each characteristic. Record the results in the 
space provided on the investigator sheet. 

The characteristics are:

G  Strength (STR): Indicates physical power.
G  Constitution (CON): Indicates health, vigor and vitality.
G  Size (SIZ): A larger investigator is likely to have a larger print, 
to  require  larger  clothing,  and  to  have  greater  physical 
strength. The upper and lower limits of Size are 1 and 99, 
respectively. Size does not factor into the difficulty level of 
physical attacks. A character’s living space also diminishes with 
a decrease in Size. A person with zero Size disappears. 

G  Intelligence (INT): A person with zero INT is in a persistent 
vegetative state, unable to communicate or care for themselves. 
INT rolls determine the starting number for the Sanity statistic 
(see page 87). INT also helps",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"For  a  70-year-old  investigator,  the  following  modifiers 
would be applied to the base values for a middle-aged person.

Sanity: 0
EDU: +1D10 (as a result of accumulated knowledge).
APP: 0 (less attractive, less hair, weight gain/loss, less flexi-
bility, slower movement, etc.
Damage Bonus: –1D4 (reduced physical strength and impact).
Hit  Points:  (Hit  Point  total  minus  current  hit  points)  plus 
1D10 (for age related injuries and poor health).
Move Rate: 1 (penalty die to STR and DEX rolls, and one penalty to 
MOV).

Age-Related Conditions
An  investigator  is  eligible  for  the  “Old  Age”  condition  in  the 
game when their age reaches 60 (see Aging, page 32). The play-
er records the “Old Age” condition on the investigator sheet and 
marks a further 2 hit points of loss. Thereafter, on every week-
ly  progress  check  the  player  makes  for  their  investigator,  they 
must also make an",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In  Call  of  Cthulhu,  a  character  may  increase  a  skill  by 
up to 10 percentage points with a successful roll against that skill 
during the investigator development phase. This is known as a 
""tick"". The character must have a skill value less than 50 before 
a tick can be gained. 

A skill can be ticked multiple times. Each tick adds 10 skill 
points (which are gained in the investigator development phase 
of play). When an increase of 10% is added to a skill, add 1 
to the skill base number. Thus, if a character has a 41% Fire-
arms (Rifle) skill, and this is increased to 51% by a tick, the 
base number is increased to 5. Any further increases of 10% 
are added to the base number: 55%, 65%, 75%, and so on.

When  a  skill  reaches  90%  or  more,  a  character  has  achieved 
a new level of mastery and has earned the right to add a new 
spiral to their diagram. The new spiral begins at 100 on the 
skill, from",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"In  Call  of  Cthulhu,  each  skill  has  a  base  chance  of 
success of 50%. The skill points for an investigator at Amateur 
level are enough to raise that base chance to 50+the skill points 
spending cap for that skill. 

The  skill  points  for  an  investigator  at  Amateur  level  is 
equal to the investigator’s % chance of success in that skill before 
any points have been spent. 

For  example:  if  the  base  chance  for  the  Fighting  (Brawl) 
skill is 40%, the investigator has 8 skill points to spend, allowing 
him or her to spend 1 point to raise their Fighting (Brawl) skill 
to 50%, their own Fighting (Brawl) skill, and so achieve a success 
on the roll. 

Note that points cannot be spent to increase a skill above 100%. 

Equipping  the  investigator:  The  player  puts  a  checkmark 
next to all the skills that relate to their investigator’s chosen oc-
cupation. They then add a checkmark to their Fighting and DEX 
skills (or Dodge",You are a helpful AI assistant.
