question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,Keith Herber wrote the Necronomicon chapter.,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,Keeper of Arcane Lore (Keeper)–the person running the game.,You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,Two or more people and a variety of dice.,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,Two: one 'units' die and one 'tens' die.,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,in the stories The Dunwich Horror (1928) and The Shadow over Innsmouth (1931) are two of Lovecraft’s stories that feature the Miskatonic University.,You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"A thousand or more stories, as well as films, games, comics, and trading cards.",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"There are five steps to making an investigator: decide on a profession, work out a profession-al skill set, allocate occupation skills, decide on a history, and finally work out a reason why your investigator is in debt.",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"EDU × 2 and deduct 20 points among STR, CON or DEX, APP, or POW.",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,By spending skill points to purchase skill specializations.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,Between 10% and 49%.,You are a helpful AI assistant.
