question,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,H.P. Lovecraft,You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper is the game's narrator, responsible for describing the world and its inhabitants, and for controlling non-player characters.",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,Two 20-sided dice (d20),You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,Two,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,The Dunwich Horror (1928),You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft's legacy is a vast and diverse one, with many authors and creators drawing inspiration from his works.",You are a helpful AI assistant.
What are the steps to create an investigator?,"Step 1: Choose a Name, Step 2: Choose an Occupation, Step 3: Choose a Goal, Step 4: Choose a Motivation, Step 5: Choose a Skill Specialization, Step 6: Choose a Language, Step 7: Choose a Credit Rating, Step 8: Choose a DEX, Step 9: Choose a STR, Step 10: Choose a SIZ, Step 11: Choose a APP, Step 12: Choose a SAN, Step 13: Choose a Luck, Step 14: Choose a Combat Specialization, Step 15: Choose a Combat Specialization, Step 16: Choose a Combat Specialization, Step 17: Choose a Combat Specialization, Step 18: Choose a Combat Specialization, Step 19: Choose a Combat Specialization, Step 20: Choose a Combat Specialization, Step 21: Choose a Combat Specialization, Step 22: Choose a Combat Specialization, Step 23: Choose a Combat Specialization, Step 24: Choose a Combat Specialization, Step 25: Choose a Combat Specialization, Step 26: Choose a Combat Specialization, Step 27: Choose a Combat Specialization, Step 28: Choose a",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,Apply the age modifiers for 70 years old.,You are a helpful AI assistant.
How can a player increase weapons skills?,By spending skill points on weapons skills,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",1-9,You are a helpful AI assistant.
What is the hypnosis skill?,The ability to induce a trance state in another person.,You are a helpful AI assistant.
Who decides the difficulty level of a skill roll?,The Keeper,You are a helpful AI assistant.
What are the consequences of a successful Pushed Roll?,The consequences of a successful Pushed Roll are determined by the Keeper.,You are a helpful AI assistant.
What happens when a player must use more than one skill?,The Keeper should ask for the skill that is most closely related to the situation.,You are a helpful AI assistant.
What are the optional rules of the game system?,The optional rules are designed to be used at the Keeper's discretion.,You are a helpful AI assistant.
What is a Combat Round?,A combat round is a period of time during which all characters and monsters have had a chance to act.,You are a helpful AI assistant.
"If more than one combatants want to attack, who has the right to attack first?",The combatant with the highest DEX,You are a helpful AI assistant.
In which situation is a character allowed to escape a close combat?,If the character is outnumbered,You are a helpful AI assistant.
How is a firearm attack resolved?,A firearm attack is resolved by rolling the attacker's Firearms skill against the target's Luck.,You are a helpful AI assistant.
How does a character recover from a major wound when the Major Wound box is checked?,A character recovers from a major wound when the Major Wound box is checked and the character is successful on a CON roll.,You are a helpful AI assistant.
Can you provide a short description of how a Chase takes place?,"A chase is a series of linked locations, with the pursuer and fleeing character moving from one to the next in turn.",You are a helpful AI assistant.
What is a speed roll used for during a chase?,To determine the order of movement,You are a helpful AI assistant.
How many movements can a chase participant take per round?,One movement per round,You are a helpful AI assistant.
What methods can the Keeper use to create obstacles and hazards during a chase?,The Keeper can use the following methods to create obstacles and hazards during a chase:,You are a helpful AI assistant.
How are vehicle damages computed after a collision?,By comparing the damage to the vehicle with the damage to the other vehicle or object.,You are a helpful AI assistant.
What state of insanity exist in the game?,"Temporary, indefinite, and permanent insanity",You are a helpful AI assistant.
How many Sanity points must an investigator loose to become temporary insane?,1D10 Sanity points,You are a helpful AI assistant.
How is it decided how many hours temporary insanity lasts?,Roll 1D10 hours,You are a helpful AI assistant.
What is the best way to recover from Indefinite Insanity?,A successful Sanity roll,You are a helpful AI assistant.
How many language skill ticks should be awarded when an investigator conducts a full study of a tome in that language?,One language skill tick,You are a helpful AI assistant.
How can a character learn a spell?,"A character may learn a spell from a book, a person, or by seeing a spell being cast.",You are a helpful AI assistant.
What type of roll must a player do to cast a spell?,A dice roll,You are a helpful AI assistant.
What happens when a spell casting roll fails?,The spell fails and the spell caster must make a CON roll to avoid taking damage.,You are a helpful AI assistant.
What information is advised that the Keeper gives to the players before they create their investigators?,The Keeper should give the players a good idea of the time period and the setting in which the game is set.,You are a helpful AI assistant.
What are NPCs?,"Non-player characters, such as monsters, people, and animals.",You are a helpful AI assistant.
What is an Idea Roll?,An Idea Roll is a roll made to gain a clue or piece of information.,You are a helpful AI assistant.
What are the Mythos Tomes,Mythos Tomes are a collection of books that contain information about the Cthulhu Mythos.,You are a helpful AI assistant.
What is the Mythos rating of the Celaeno Fragments?,38,You are a helpful AI assistant.
When was the Key of Solomon written?,The Key of Solomon was written in the 15th century.,You are a helpful AI assistant.
What are the main spell classes?,"The main spell classes are Enchant, Enchantment, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments, Enchantments,",You are a helpful AI assistant.
How long does a Banishment of Yde Etad spell last at minimum?,1D10+1 rounds,You are a helpful AI assistant.
What is the cost of a Bless Blade?,1 magic point; 1 Sanity point,You are a helpful AI assistant.
Which spell can a cultist use to get in touch with alien races?,Contact Deity,You are a helpful AI assistant.
Who uses Carotid Toxin?,The serpent people,You are a helpful AI assistant.
What is a Temporal Communicator?,A device that allows the user to communicate with beings from other times and places.,You are a helpful AI assistant.
What characteristics are typically possessed by monsters and beasts?,"Monsters and beasts typically possess a range of characteristics, including STR, SIZ, and DEX.",You are a helpful AI assistant.
What is the range of build value for a human?,0 to 1,You are a helpful AI assistant.
What is a Crawling One composed of?,"a mass of writhing, pulsing, and quivering tentacles",You are a helpful AI assistant.
What is the average STR of the Elder Thing?,90,You are a helpful AI assistant.
When do Clayton and Harris run into the forest in the 'Amidst the Ancient Trees' scenario?,At the end of Round 1,You are a helpful AI assistant.
