question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"The Necronomicon is a fictional book from H.P. Lovecraft's works, specifically from his Cthulhu Mythos. It is a central plot device in his stories, particularly in ""The Call of Cthulhu"" and ""The Shadow Over Innsmouth"".

The Necronomicon is not a real book, and its existence is not recognized by scholars or historians. However, it is often associated with the works of H.P. Lovecraft, who wrote extensively about the Cthulhu Mythos in his stories.

In the context of Lovecraft's works, the Necronomicon is often referred to as a mysterious, ancient tome that contains forbidden knowledge and forbidden secrets. It is said to be a powerful artifact that holds the secrets of the Old Ones, ancient beings of immense power and malevolence.

While there is no single author credited with writing the Necronomicon chapter, it is often attributed to Lovecraft himself, as he wrote extensively about the book in his stories and essays.",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"In the Call of Cthulhu tabletop role-playing game, the Keeper is a unique character class that serves as the game's narrator, referee, and investigator. The Keeper is a keeper of the Old Ones, a group of powerful, otherworldly beings from the Cthulhu Mythos, a shared universe created by H.P. Lovecraft.

The Keeper's role is multifaceted:

1. **Narrator**: The Keeper is responsible for setting the scene, guiding the players through the story, and providing context for the game world. They describe the setting, the plot, and the characters, drawing from their vast knowledge of the Cthulhu Mythos.
2. **Referee**: The Keeper adjudicates the rules, resolves conflicts, and interprets the game's mechanics. They ensure that the game is played fairly and within the bounds of the rules.
3. **Investigator**: The Keeper is the players' guide through the world, providing information about the various locations, NPCs, and plot threads. They help the players navigate the world, uncover hidden secrets, and make decisions that impact the story.
4. **Researcher**: The Keeper is often the one who provides the players with information about the Cthulhu Mythos, its lore",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,"To play Call of Cthulhu, you'll need the following dice:

1. **6-sided die (d6)**: Also known as a six-sided die, this is used for resolving many of the game's challenges and determining the outcome of actions.
2. **20-sided die (d20)**: This is a 20-sided die, also known as a twenty-sided die, which is used for resolving many of the game's more complex challenges and determining the outcome of certain actions.
3. **12-sided die (d12)**: This is a 12-sided die, also known as a twelve-sided die, which is used for certain specific purposes, such as resolving certain types of combat or skill checks.
4. **6-sided die (d6) for Sanity**: In Call of Cthulhu, sanity is a crucial aspect of the game, and a d6 is used to determine a character's sanity level. A roll of 1-3 indicates a character is sane, while 4-6 indicates a character is insane.

Optional dice:

1. **6-sided die (d6) for Sanity Threshold**: This is used to determine a character's sanity threshold, which is the point at which their sanity drops to 0.

",You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,"To play a game of dice, you typically need at least 2 dices.",You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"In H.P. Lovecraft's story ""The Shadow Over Innsmouth"" (1931), Miskatonic University is featured.",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,"H.P. Lovecraft, an American author of horror, fantasy, and science fiction, has had a profound and lasting impact on the literary world. His works have influenced countless authors, artists, and creators across various mediums. Here are some of the key aspects of his legacy:

1. **Cult of Cosmic Horror**: Lovecraft's works, particularly ""The Call of Cthulhu"" (1928) and ""At the Mountains of Madness"" (1936), helped establish the concept of cosmic horror, which explores the idea of ancient, malevolent deities and eldritch beings that defy human understanding. This subgenre has influenced numerous authors, including Stephen King, Clive Barker, and Neil Gaiman.
2. **Influence on Horror and Fantasy**: Lovecraft's works have inspired generations of horror and fantasy authors, including Clive Barker, Anne Rice, and Joe Hill. His ideas about the insignificance of humanity, the power of the unknown, and the dangers of unchecked scientific progress have become staples of the horror and fantasy genres.
3. **Cultural References and Parodies**: Lovecraft's works have been referenced and parodied in countless films, TV shows, and books, including ""The X-Files,"" ""Stranger Things,""",You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,"Creating an investigator can be a complex process that involves several steps. Here's a general outline to help guide you through the process:

**Step 1: Define the Purpose and Scope**

* Identify the type of investigation (e.g., private, public, forensic, or investigative)
* Determine the scope of the investigation (e.g., specific case, location, or industry)
* Define the goals and objectives of the investigation

**Step 2: Gather Information and Resources**

* Collect relevant data and evidence related to the investigation
* Identify key stakeholders, including witnesses, suspects, and experts
* Gather necessary resources, such as:
	+ Equipment (e.g., cameras, audio recorders, software)
	+ Personnel (e.g., investigators, analysts, experts)
	+ Budget and funding

**Step 3: Develop a Investigation Plan**

* Create a detailed plan outlining the investigation's scope, timeline, and procedures
* Identify potential risks and mitigation strategies
* Establish a communication plan for stakeholders and the public

**Step 4: Conduct Interviews and Gather Evidence**

* Conduct interviews with witnesses, suspects, and experts
* Collect and analyze evidence, including:
	+ Physical evidence (e.g., documents, objects)
	+ Digital evidence (e.g.,",You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,"When creating a character, especially one as mature as a 70-year-old, you'll want to consider the following modifiers to make them feel more realistic and nuanced:

**Physical Characteristics:**

*   **Age-related physical changes:** Consider adding wrinkles, gray hair, and age spots to give your character a more mature appearance.
*   **Weight gain or loss:** A 70-year-old character might experience weight gain or loss due to various factors like decreased mobility or health issues.
*   **Health conditions:** Introduce any relevant health conditions, such as arthritis, diabetes, or heart disease, to make your character's age more believable.

**Personality and Behavior:**

*   **Maturity and wisdom:** A 70-year-old character might be more cautious, wise, and experienced, with a deeper understanding of life's complexities.
*   **Emotional depth:** Explore your character's emotional depth, including their relationships, motivations, and emotional scars.
*   **Humor:** Consider adding a dry wit or a sense of humor to make your character more relatable and endearing.

**Background and Experience:**

*   **Life experiences:** Give your character a rich backstory, including significant life events, relationships, and accomplishments that have shaped them into the person they are",You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,"In various video games, increasing a player's skills, particularly in combat or shooting, often involves leveling up, acquiring new equipment, or improving existing skills. Here are some general tips on how players can increase their weapons skills in different types of games:

**General Tips**

1. **Leveling up**: Most games have a leveling system where players can level up their characters or equipment to increase their stats or skills. This is usually done by completing quests, defeating enemies, or collecting experience points.
2. **Equipment upgrades**: Some games allow players to upgrade their equipment, such as guns, swords, or armor, to improve their skills. Upgrading equipment can increase its damage output, range, or other relevant stats.
3. **Skill trees or skill trees**: Many games have a skill tree or skill tree system where players can allocate points to different skills or abilities, such as shooting, melee, or magic. This can increase the player's overall effectiveness in combat.
4. **Practice and experimentation**: As players progress through the game, they may encounter new enemies or situations that require them to use different skills or strategies. Experimenting with different tactics and techniques can help players improve their skills.

**Specific Tips for Different Games**

* **First-person shooters**: In games like Call",You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,"In the Call of Cthulhu role-playing game, the skill points for an investigator at the Amateur level are as follows:

- Investigation: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points
- Research: 2 points",You are a helpful AI assistant.
