question,answer,chapter,generated_answer,system_prompt
Who wrote the Necronomicon chapter?,Keith Herber,1,"Eibon, the Black",You are a helpful AI assistant.
What is the role of the Keeper in the Call of Cthulhu?,"The Keeper runs the story, set the scene for the investigators, tells them what they can do and what the effect of their actions is",1,"The Keeper is the referee, judge, and arbiter of the game.",You are a helpful AI assistant.
What dices are needed to play Call of Cthulhu?,"The following dices are needed: a percentile dice (called D100), a four-sided dice (called D4), a six-sided dice (called D6), an eight-sided dice (called D8), and a twenty-sided die (called D20)",1,Two six-sided dice,You are a helpful AI assistant.
How many dices are needed at a minimum to play the game?,5,1,One,You are a helpful AI assistant.
In which of Lovecraft's stories is featured the Miskatonic University?,"In 'The Picture in the House', 'Herbert West—Reanimator', 'The Dunwich Horror' and 'The Thing on the Doorstep'",2,"The Miskatonic University appears in several stories, including 'The Dunwich Horror' and 'The Shadow Out of Time'.",You are a helpful AI assistant.
What is the legacy of Lovecraft?,"Lovecraft has influenced many authors starting from the 40ies until today, including Gary Myers, Basil Copper, T.E.D. Klein, David Drake, Thomas Ligotti, W.H. Pugmire, Joseph S. Pulver Sr., Laird Barron and Stephen King. In addition, several Lovecraft's stories have been put into movies, such as Stuart Gordon’s 'Re-Animator' and 'Dragon'. Finally, several movie directors have been influenced by Lovecraft, including John Carpenter, Frank Darabont, Guillermo del Toro and Sam Raimi",2,The horror genre,You are a helpful AI assistant.
What are the steps to create an investigator?,"There are five steps to create an investigator, namely: generate characteristics, determine occupation, decide skills and allocate Skill Points, create a backstory, equip the investigator",3,Step 1: Choose an investigator occupation.,You are a helpful AI assistant.
What modifiers should a player apply for a character that is 70 year old?,"The player should add 4 improvement checks for EDU and deduct 40 points among STR, CON or DEX, and reduce APP by 20",3,+5 (physical) and +5 (mental),You are a helpful AI assistant.
How can a player increase weapons skills?,A player can increase weapons skills by spending available Personal Interest or occupational skill points,3,By spending skill points.,You are a helpful AI assistant.
"Given a specific skill, what is the range of skill points for an investigator at the Amateur level?",between 20% and 49%,4,1D10 skill points,You are a helpful AI assistant.
